"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EHWO","Woensdrecht","Woensdrecht","Netherlands","NLD",51.449,4.342141666666667,"{""type"":""Point"",""coordinates"":[4.342141666666667,51.449]}"
"EHTX","Texel","Texel","Netherlands","NLD",53.11638888888889,4.833888888888889,"{""type"":""Point"",""coordinates"":[4.833888888888889,53.11638888888889]}"
"EHTE","Teuge","Deventer","Netherlands","NLD",52.24472222222222,6.046666666666667,"{""type"":""Point"",""coordinates"":[6.046666666666667,52.24472222222222]}"
"EHSE","Seppe","Hoeven","Netherlands","NLD",51.55472222222222,4.5525,"{""type"":""Point"",""coordinates"":[4.5525,51.55472222222222]}"
"EHLW","Leeuwarden","Leeuwarden","Netherlands","NLD",53.22527222222222,5.752533333333333,"{""type"":""Point"",""coordinates"":[5.752533333333333,53.22527222222222]}"
"EHGR","Gilze-Rijen","Gilze-Rijen","Netherlands","NLD",51.56737777777778,4.931836111111111,"{""type"":""Point"",""coordinates"":[4.931836111111111,51.56737777777778]}"
"EHLE","Lelystad","Lelystad","Netherlands","NLD",52.46027777777778,5.527222222222222,"{""type"":""Point"",""coordinates"":[5.527222222222222,52.46027777777778]}"
"EHKD","De Kooy","De Kooy","Netherlands","NLD",52.92361111111111,4.780555555555556,"{""type"":""Point"",""coordinates"":[4.780555555555556,52.92361111111111]}"
"EHVK","Volkel","Volkel","Netherlands","NLD",51.65720833333333,5.707825000000001,"{""type"":""Point"",""coordinates"":[5.707825000000001,51.65720833333333]}"
"EHST","Stadskanaal","Stadskanaal","Netherlands","NLD",52.99861111111111,7.022777777777778,"{""type"":""Point"",""coordinates"":[7.022777777777778,52.99861111111111]}"
"EHEH","Eindhoven","Eindhoven","Netherlands","NLD",51.45,5.374444444444444,"{""type"":""Point"",""coordinates"":[5.374444444444444,51.45]}"
"EHOW","Oostwold","Oostwold","Netherlands","NLD",53.20861111111111,7.032777777777778,"{""type"":""Point"",""coordinates"":[7.032777777777778,53.20861111111111]}"
"EHBD","Budel","Weert","Netherlands","NLD",51.254444444444445,5.600833333333333,"{""type"":""Point"",""coordinates"":[5.600833333333333,51.254444444444445]}"
"EHRD","Rotterdam","Rotterdam","Netherlands","NLD",51.956944444444446,4.437222222222222,"{""type"":""Point"",""coordinates"":[4.437222222222222,51.956944444444446]}"
"EHHV","Hilversum","Hilversum","Netherlands","NLD",52.19194444444444,5.146944444444445,"{""type"":""Point"",""coordinates"":[5.146944444444445,52.19194444444444]}"
"EHHO","Hoogeveen","Hoogeveen","Netherlands","NLD",52.73083333333334,6.516111111111111,"{""type"":""Point"",""coordinates"":[6.516111111111111,52.73083333333334]}"
"EHBK","Maastricht-Aachen","Maastricht","Netherlands","NLD",50.91583333333333,5.776944444444444,"{""type"":""Point"",""coordinates"":[5.776944444444444,50.91583333333333]}"
"EHDL","Deelen","Arnhem","Netherlands","NLD",52.05972777777777,5.871936111111111,"{""type"":""Point"",""coordinates"":[5.871936111111111,52.05972777777777]}"
"EHAM","Schiphol","Amsterdam","Netherlands","NLD",52.308055555555555,4.764166666666667,"{""type"":""Point"",""coordinates"":[4.764166666666667,52.308055555555555]}"
"EHGG","Eelde","Groningen","Netherlands","NLD",53.125,6.583333333333333,"{""type"":""Point"",""coordinates"":[6.583333333333333,53.125]}"
"EHMZ","Midden-Zeeland","Middelburg","Netherlands","NLD",51.51222222222222,3.7311111111111113,"{""type"":""Point"",""coordinates"":[3.7311111111111113,51.51222222222222]}"
"EHDR","Drachten","Drachten","Netherlands","NLD",53.11805555555556,6.129166666666666,"{""type"":""Point"",""coordinates"":[6.129166666666666,53.11805555555556]}"
"EHAL","Ameland","Ameland","Netherlands","NLD",53.45166666666667,5.677222222222222,"{""type"":""Point"",""coordinates"":[5.677222222222222,53.45166666666667]}"
