"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"ENTY","Tynset","Tynset","Norway","NOR",62.25694444444444,10.669444444444444,"{""type"":""Point"",""coordinates"":[10.669444444444444,62.25694444444444]}"
"ENTS","Saeterasen","Trysil","Norway","NOR",61.230000000000004,12.266666666666667,"{""type"":""Point"",""coordinates"":[12.266666666666667,61.230000000000004]}"
"ENVD","Vadso","Vadso","Norway","NOR",70.06527777777778,29.84472222222222,"{""type"":""Point"",""coordinates"":[29.84472222222222,70.06527777777778]}"
"ENTO","Torp","Sandefjord","Norway","NOR",59.18666666666666,10.258611111111112,"{""type"":""Point"",""coordinates"":[10.258611111111112,59.18666666666666]}"
"ENSN","Geiteryggen","Skien","Norway","NOR",59.184999999999995,9.566944444444443,"{""type"":""Point"",""coordinates"":[9.566944444444443,59.184999999999995]}"
"ENSK","Skagen","Stokmarknes","Norway","NOR",68.58083333333333,15.026111111111112,"{""type"":""Point"",""coordinates"":[15.026111111111112,68.58083333333333]}"
"ENRY","Rygge","Moss","Norway","NOR",59.37888888888889,10.785555555555556,"{""type"":""Point"",""coordinates"":[10.785555555555556,59.37888888888889]}"
"ENRV","Reinsvoll","Reinsvoll","Norway","NOR",60.67222222222222,10.567499999999999,"{""type"":""Point"",""coordinates"":[10.567499999999999,60.67222222222222]}"
"ENRS","Rost","Rost","Norway","NOR",67.52777777777777,12.103333333333333,"{""type"":""Point"",""coordinates"":[12.103333333333333,67.52777777777777]}"
"ENHT","Hattfjelldal","Hattfjelldal","Norway","NOR",65.59472222222222,13.989166666666666,"{""type"":""Point"",""coordinates"":[13.989166666666666,65.59472222222222]}"
"ENSA","Svea","Svea","Norway","NOR",77.89694444444446,16.724999999999998,"{""type"":""Point"",""coordinates"":[16.724999999999998,77.89694444444446]}"
"ENSG","Haukasen","Sogndal","Norway","NOR",61.15611111111111,7.137777777777778,"{""type"":""Point"",""coordinates"":[7.137777777777778,61.15611111111111]}"
"ENRO","Roros","Roros","Norway","NOR",62.57888888888889,11.345,"{""type"":""Point"",""coordinates"":[11.345,62.57888888888889]}"
"ENSB","Longyear","Svalbard","Norway","NOR",78.2461111111111,15.465555555555556,"{""type"":""Point"",""coordinates"":[15.465555555555556,78.2461111111111]}"
"ENRM","Ryum","Rorvik","Norway","NOR",64.83833333333332,11.14611111111111,"{""type"":""Point"",""coordinates"":[11.14611111111111,64.83833333333332]}"
"ENML","Aro","Molde","Norway","NOR",62.74472222222222,7.2625,"{""type"":""Point"",""coordinates"":[7.2625,62.74472222222222]}"
"ENRI","Frya","Frya","Norway","NOR",61.54722222222222,10.061111111111112,"{""type"":""Point"",""coordinates"":[10.061111111111112,61.54722222222222]}"
"ENRG","Rognan","Rognan","Norway","NOR",67.1,15.413055555555555,"{""type"":""Point"",""coordinates"":[15.413055555555555,67.1]}"
"ENNO","Tuven","Notodden","Norway","NOR",59.565555555555555,9.212222222222222,"{""type"":""Point"",""coordinates"":[9.212222222222222,59.565555555555555]}"
"EN21","Wadahl","Wadahl","Norway","NOR",61.49916666666667,9.7975,"{""type"":""Point"",""coordinates"":[9.7975,61.49916666666667]}"
"ENNM","Namsos","Namsos","Norway","NOR",64.47222222222223,11.57861111111111,"{""type"":""Point"",""coordinates"":[11.57861111111111,64.47222222222223]}"
"ENNK","Framnes","Narvik","Norway","NOR",68.43694444444445,17.386666666666667,"{""type"":""Point"",""coordinates"":[17.386666666666667,68.43694444444445]}"
"ENNA","Banak","Lakselv","Norway","NOR",70.06666666666666,24.973888888888887,"{""type"":""Point"",""coordinates"":[24.973888888888887,70.06666666666666]}"
"ENMH","Mehamn","Mehamn","Norway","NOR",71.02972222222222,27.826666666666668,"{""type"":""Point"",""coordinates"":[27.826666666666668,71.02972222222222]}"
"ENLU","Nome","Lunde","Norway","NOR",59.29805555555556,9.133055555555556,"{""type"":""Point"",""coordinates"":[9.133055555555556,59.29805555555556]}"
"ENHV","Valan","Honningsvag","Norway","NOR",71.00972222222222,25.983611111111113,"{""type"":""Point"",""coordinates"":[25.983611111111113,71.00972222222222]}"
"ENKL","Klanten","Klanten","Norway","NOR",60.79083333333333,9.050555555555556,"{""type"":""Point"",""coordinates"":[9.050555555555556,60.79083333333333]}"
"ENKB","Kvernberget","Kristiansund","Norway","NOR",63.11194444444445,7.826111111111111,"{""type"":""Point"",""coordinates"":[7.826111111111111,63.11194444444445]}"
"ENHF","Hammerfest","Hammerfest","Norway","NOR",70.67972222222222,23.66861111111111,"{""type"":""Point"",""coordinates"":[23.66861111111111,70.67972222222222]}"
"ENHK","Hasvik","Hasvik","Norway","NOR",70.48666666666666,22.139722222222222,"{""type"":""Point"",""coordinates"":[22.139722222222222,70.48666666666666]}"
"ENRK","Astorp","Rakkestad","Norway","NOR",59.3975,11.346944444444444,"{""type"":""Point"",""coordinates"":[11.346944444444444,59.3975]}"
"ENDO","Thomlevold","Dokka","Norway","NOR",60.833333333333336,9.916666666666666,"{""type"":""Point"",""coordinates"":[9.916666666666666,60.833333333333336]}"
"ENJA","Jan Mayen","Jan Mayen","Norway","NOR",70.94388888888889,-8.651388888888889,"{""type"":""Point"",""coordinates"":[-8.651388888888889,70.94388888888889]}"
"EN09","Haga","Haga","Norway","NOR",60.021388888888886,11.382222222222223,"{""type"":""Point"",""coordinates"":[11.382222222222223,60.021388888888886]}"
