"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VNVT","Biratnagar","Biratnagar","Nepal","NPL",26.484166666666667,87.26444444444445,"{""type"":""Point"",""coordinates"":[87.26444444444445,26.484166666666667]}"
"VNST","Simikot","Simikot","Nepal","NPL",29.97111111111111,81.81888888888888,"{""type"":""Point"",""coordinates"":[81.81888888888888,29.97111111111111]}"
"VNSI","Simara","Simara","Nepal","NPL",27.162499999999998,84.98166666666667,"{""type"":""Point"",""coordinates"":[84.98166666666667,27.162499999999998]}"
"VNNG","Nepalgunj","Nepalgunj","Nepal","NPL",28.101666666666667,81.66638888888889,"{""type"":""Point"",""coordinates"":[81.66638888888889,28.101666666666667]}"
"VNMA","Manang","Manang","Nepal","NPL",28.641388888888887,84.08916666666666,"{""type"":""Point"",""coordinates"":[84.08916666666666,28.641388888888887]}"
"VNKT","Tribhuvan Intl","Kathmandu","Nepal","NPL",27.697158333333334,85.357925,"{""type"":""Point"",""coordinates"":[85.357925,27.697158333333334]}"
"VNRC","Ramechhap","Ramechhap","Nepal","NPL",27.39388888888889,86.06138888888889,"{""type"":""Point"",""coordinates"":[86.06138888888889,27.39388888888889]}"
"VNJL","Jumla","Jumla","Nepal","NPL",29.273888888888887,82.18972222222223,"{""type"":""Point"",""coordinates"":[82.18972222222223,29.273888888888887]}"
"VNDG","Dang","Dang","Nepal","NPL",28.112222222222222,82.2925,"{""type"":""Point"",""coordinates"":[82.2925,28.112222222222222]}"
"VNDH","Dhangadhi","Dhangadhi","Nepal","NPL",28.753333333333334,80.58194444444445,"{""type"":""Point"",""coordinates"":[80.58194444444445,28.753333333333334]}"
"VNSK","Surkhet","Surkhet","Nepal","NPL",28.585833333333333,81.63527777777779,"{""type"":""Point"",""coordinates"":[81.63527777777779,28.585833333333333]}"
"VNDP","Dolpa","Dolpa","Nepal","NPL",28.985833333333336,82.81916666666666,"{""type"":""Point"",""coordinates"":[82.81916666666666,28.985833333333336]}"
"VNCJ","Chaurijhari","Chaurijhari","Nepal","NPL",28.627222222222223,82.19333333333334,"{""type"":""Point"",""coordinates"":[82.19333333333334,28.627222222222223]}"
"VNLK","Lukla","Lukla","Nepal","NPL",27.68777777777778,86.73138888888889,"{""type"":""Point"",""coordinates"":[86.73138888888889,27.68777777777778]}"
"VNTR","Tumlingtar","Tumlingtar","Nepal","NPL",27.31722222222222,87.19527777777778,"{""type"":""Point"",""coordinates"":[87.19527777777778,27.31722222222222]}"
"VNPK","Pokhara","Pokhara","Nepal","NPL",28.2,83.98166666666667,"{""type"":""Point"",""coordinates"":[83.98166666666667,28.2]}"
"VNJP","Janakpur","Janakpur","Nepal","NPL",26.710833333333333,85.92444444444445,"{""type"":""Point"",""coordinates"":[85.92444444444445,26.710833333333333]}"
"VNCG","Chandragadhi","Chandragadhi","Nepal","NPL",26.57027777777778,88.07583333333334,"{""type"":""Point"",""coordinates"":[88.07583333333334,26.57027777777778]}"
"VNLD","Lamidada","Lamidada","Nepal","NPL",27.253055555555555,86.67,"{""type"":""Point"",""coordinates"":[86.67,27.253055555555555]}"
"VNBP","Bharatpur","Bharatpur","Nepal","NPL",27.678055555555556,84.42944444444444,"{""type"":""Point"",""coordinates"":[84.42944444444444,27.678055555555556]}"
"VNJS","Jomsom","Jomsom","Nepal","NPL",28.78111111111111,83.7225,"{""type"":""Point"",""coordinates"":[83.7225,28.78111111111111]}"
"VNBW","Gautam Buddha","Bhairahawa","Nepal","NPL",27.50722222222222,83.41805555555555,"{""type"":""Point"",""coordinates"":[83.41805555555555,27.50722222222222]}"
"VNBG","Bajhang","Bajhang","Nepal","NPL",29.53888888888889,81.18527777777778,"{""type"":""Point"",""coordinates"":[81.18527777777778,29.53888888888889]}"
"VNBR","Bajura","Bajura","Nepal","NPL",29.503611111111113,81.66833333333334,"{""type"":""Point"",""coordinates"":[81.66833333333334,29.503611111111113]}"
"VNBJ","Bhojpur","Bhojpur","Nepal","NPL",27.1475,87.05083333333333,"{""type"":""Point"",""coordinates"":[87.05083333333333,27.1475]}"
