"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"NZYP","Waipukurau","Waipukurau","New Zealand","NZL",-39.99666666666667,176.53694444444443,"{""type"":""Point"",""coordinates"":[176.53694444444443,-39.99666666666667]}"
"NZWV","Waihi Beach","Waihi Beach","New Zealand","NZL",-37.43,175.95194444444442,"{""type"":""Point"",""coordinates"":[175.95194444444442,-37.43]}"
"NZWR","Whangarei","Whangarei","New Zealand","NZL",-35.76833333333333,174.36499999999998,"{""type"":""Point"",""coordinates"":[174.36499999999998,-35.76833333333333]}"
"NZWO","Wairoa","Wairoa","New Zealand","NZL",-39.00694444444444,177.40666666666667,"{""type"":""Point"",""coordinates"":[177.40666666666667,-39.00694444444444]}"
"NZWM","Waimate","Waimate","New Zealand","NZL",-44.79,171.09166666666667,"{""type"":""Point"",""coordinates"":[171.09166666666667,-44.79]}"
"NZWF","Wanaka","Wanaka","New Zealand","NZL",-44.72222222222222,169.24555555555554,"{""type"":""Point"",""coordinates"":[169.24555555555554,-44.72222222222222]}"
"NZWD","Williams Field","McMurdo Station","New Zealand","NZL",-77.87638888888888,167.03777777777776,"{""type"":""Point"",""coordinates"":[167.03777777777776,-77.87638888888888]}"
"NZWB","Woodbourne (Military)","Blenheim","New Zealand","NZL",-41.51833333333333,173.87027777777777,"{""type"":""Point"",""coordinates"":[173.87027777777777,-41.51833333333333]}"
"NZVL","Mandeville","Mandeville","New Zealand","NZL",-45.99027777777778,168.81222222222223,"{""type"":""Point"",""coordinates"":[168.81222222222223,-45.99027777777778]}"
"NZUN","Pauanui Beach","Pauanui Beach","New Zealand","NZL",-37.02166666666667,175.8636111111111,"{""type"":""Point"",""coordinates"":[175.8636111111111,-37.02166666666667]}"
"NZTO","Tokoroa","Tokoroa","New Zealand","NZL",-38.236666666666665,175.89277777777778,"{""type"":""Point"",""coordinates"":[175.89277777777778,-38.236666666666665]}"
"NZTL","Tekapo","Tekapo","New Zealand","NZL",-44.005,170.44166666666666,"{""type"":""Point"",""coordinates"":[170.44166666666666,-44.005]}"
"NZTI","Taieri","Taieri","New Zealand","NZL",-45.86,170.35833333333332,"{""type"":""Point"",""coordinates"":[170.35833333333332,-45.86]}"
"NZTH","Thames","Thames","New Zealand","NZL",-37.15653888888889,175.5501888888889,"{""type"":""Point"",""coordinates"":[175.5501888888889,-37.15653888888889]}"
"NZTG","Tauranga","Tauranga","New Zealand","NZL",-37.67194444444444,176.19611111111112,"{""type"":""Point"",""coordinates"":[176.19611111111112,-37.67194444444444]}"
"NZTM","Taumarunui","Taumarunui","New Zealand","NZL",-38.843333333333334,175.2552777777778,"{""type"":""Point"",""coordinates"":[175.2552777777778,-38.843333333333334]}"
"NZTE","Te Kowhai","Te Kowhai","New Zealand","NZL",-37.745,175.15861111111113,"{""type"":""Point"",""coordinates"":[175.15861111111113,-37.745]}"
"NZWN","Wellington Intl","Wellington","New Zealand","NZL",-41.327222222222225,174.8052777777778,"{""type"":""Point"",""coordinates"":[174.8052777777778,-41.327222222222225]}"
"NZSL","Springhill","Springhill","New Zealand","NZL",-36.325,174.55555555555557,"{""type"":""Point"",""coordinates"":[174.55555555555557,-36.325]}"
"NZSD","Stratford","Stratford","New Zealand","NZL",-39.31888888888889,174.3102777777778,"{""type"":""Point"",""coordinates"":[174.3102777777778,-39.31888888888889]}"
"NZRW","Ruawai","Ruawai","New Zealand","NZL",-36.09583333333334,173.9752777777778,"{""type"":""Point"",""coordinates"":[173.9752777777778,-36.09583333333334]}"
"NZRT","Rangiora","Rangiora","New Zealand","NZL",-43.29,172.54166666666666,"{""type"":""Point"",""coordinates"":[172.54166666666666,-43.29]}"
"NZRO","Rotorua","Rotorua","New Zealand","NZL",-38.10916666666667,176.31722222222223,"{""type"":""Point"",""coordinates"":[176.31722222222223,-38.10916666666667]}"
"NZWU","Wanganui","Wanganui","New Zealand","NZL",-39.96222222222222,175.0252777777778,"{""type"":""Point"",""coordinates"":[175.0252777777778,-39.96222222222222]}"
"NZRK","Rangitaiki","Taupo","New Zealand","NZL",-38.88666666666666,176.3636111111111,"{""type"":""Point"",""coordinates"":[176.3636111111111,-38.88666666666666]}"
"NZRC","Ryans Creek","Invercargill","New Zealand","NZL",-46.89972222222222,168.10194444444443,"{""type"":""Point"",""coordinates"":[168.10194444444443,-46.89972222222222]}"
"NZPM","Palmerston North","Palmerston North","New Zealand","NZL",-40.32055555555556,175.61694444444444,"{""type"":""Point"",""coordinates"":[175.61694444444444,-40.32055555555556]}"
"NZGB","Great Barrier","Great Barrier","New Zealand","NZL",-36.24138888888889,175.47194444444446,"{""type"":""Point"",""coordinates"":[175.47194444444446,-36.24138888888889]}"
"NZPI","Parakai","Parakai","New Zealand","NZL",-36.651666666666664,174.43333333333334,"{""type"":""Point"",""coordinates"":[174.43333333333334,-36.651666666666664]}"
"NZKY","Kowhai","Waipawa","New Zealand","NZL",-39.84527777777778,176.42138888888888,"{""type"":""Point"",""coordinates"":[176.42138888888888,-39.84527777777778]}"
"NZOP","Opotiki","Opotiki","New Zealand","NZL",-38.0225,177.30722222222224,"{""type"":""Point"",""coordinates"":[177.30722222222224,-38.0225]}"
"NZOM","Omaka","Blenheim","New Zealand","NZL",-41.54,173.92194444444445,"{""type"":""Point"",""coordinates"":[173.92194444444445,-41.54]}"
"NZSF","Springfield","Springfield","New Zealand","NZL",-43.38361111111111,171.91111111111113,"{""type"":""Point"",""coordinates"":[171.91111111111113,-43.38361111111111]}"
"NZNR","Napier","Napier","New Zealand","NZL",-39.465833333333336,176.87,"{""type"":""Point"",""coordinates"":[176.87,-39.465833333333336]}"
"NZMC","Mount Cook","Mount Cook","New Zealand","NZL",-43.765,170.13333333333333,"{""type"":""Point"",""coordinates"":[170.13333333333333,-43.765]}"
"NZNF","Norfolk","Inglewood","New Zealand","NZL",-39.20447222222222,174.22333333333333,"{""type"":""Point"",""coordinates"":[174.22333333333333,-39.20447222222222]}"
"NZOT","Otaki","Otaki","New Zealand","NZL",-40.78361111111111,175.1511111111111,"{""type"":""Point"",""coordinates"":[175.1511111111111,-40.78361111111111]}"
"NZMF","Milford Sound","Milford Sound","New Zealand","NZL",-44.67333333333333,167.92333333333332,"{""type"":""Point"",""coordinates"":[167.92333333333332,-44.67333333333333]}"
"NZMS","Masterton","Masterton","New Zealand","NZL",-40.973333333333336,175.6336111111111,"{""type"":""Point"",""coordinates"":[175.6336111111111,-40.973333333333336]}"
"NZPP","Paraparaumu","Paraparaumu","New Zealand","NZL",-40.904624999999996,174.98903888888887,"{""type"":""Point"",""coordinates"":[174.98903888888887,-40.904624999999996]}"
"NZHT","Haast","Haast","New Zealand","NZL",-43.86666666666667,169.0402777777778,"{""type"":""Point"",""coordinates"":[169.0402777777778,-43.86666666666667]}"
"NZOF","Omaha Flats","Omaha","New Zealand","NZL",-36.34616666666667,174.76033333333334,"{""type"":""Point"",""coordinates"":[174.76033333333334,-36.34616666666667]}"
"NZUK","Pukaki","Pukaki","New Zealand","NZL",-44.235,170.11833333333334,"{""type"":""Point"",""coordinates"":[170.11833333333334,-44.235]}"
"NZMR","Murchison","Murchison","New Zealand","NZL",-41.79666666666667,172.315,"{""type"":""Point"",""coordinates"":[172.315,-41.79666666666667]}"
"NZMO","Te Anau/Manapouri","Manapouri","New Zealand","NZL",-45.533055555555556,167.65,"{""type"":""Point"",""coordinates"":[167.65,-45.533055555555556]}"
"NZFJ","Franz Josef","Franz Josef","New Zealand","NZL",-43.363055555555555,170.13444444444443,"{""type"":""Point"",""coordinates"":[170.13444444444443,-43.363055555555555]}"
"NZMK","Motueka","Motueka","New Zealand","NZL",-41.123333333333335,172.9886111111111,"{""type"":""Point"",""coordinates"":[172.9886111111111,-41.123333333333335]}"
