"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"OOTH","Thumrait AB","Thumrait","Oman","OMN",17.665999999999997,54.02466666666667,"{""type"":""Point"",""coordinates"":[54.02466666666667,17.665999999999997]}"
"OOSA","Salalah","Salalah","Oman","OMN",17.03872777777778,54.091297222222224,"{""type"":""Point"",""coordinates"":[54.091297222222224,17.03872777777778]}"
"OOKB","Khasab","Khasab","Oman","OMN",26.171666666666667,56.24027777777778,"{""type"":""Point"",""coordinates"":[56.24027777777778,26.171666666666667]}"
"OOMX","Marmul","Marmul","Oman","OMN",18.13948611111111,55.17867777777778,"{""type"":""Point"",""coordinates"":[55.17867777777778,18.13948611111111]}"
"OOMS","Muscat Intl","Muscat","Oman","OMN",23.592858333333332,58.281797222222224,"{""type"":""Point"",""coordinates"":[58.281797222222224,23.592858333333332]}"
"OOMK","Mukhaizna","Mukhaizna","Oman","OMN",19.389988888888887,56.39779166666666,"{""type"":""Point"",""coordinates"":[56.39779166666666,19.389988888888887]}"
"OOJA","Ja'aluni","Ja'aluni","Oman","OMN",19.47400833333333,57.307786111111106,"{""type"":""Point"",""coordinates"":[57.307786111111106,19.47400833333333]}"
"OOIZ","Izki AB","Izki","Oman","OMN",22.891666666666666,57.75833333333333,"{""type"":""Point"",""coordinates"":[57.75833333333333,22.891666666666666]}"
"OOGB","Qarn Alam","Qarn Alam","Oman","OMN",21.376958333333334,57.056525,"{""type"":""Point"",""coordinates"":[57.056525,21.376958333333334]}"
"OOSH","Sohar","Sohar","Oman","OMN",24.386105555555556,56.625619444444446,"{""type"":""Point"",""coordinates"":[56.625619444444446,24.386105555555556]}"
"OOFD","Fahud","Fahud","Oman","OMN",22.354419444444446,56.4848,"{""type"":""Point"",""coordinates"":[56.4848,22.354419444444446]}"
"OODQ","Duqm","Duqm","Oman","OMN",19.50001388888889,57.642830555555555,"{""type"":""Point"",""coordinates"":[57.642830555555555,19.50001388888889]}"
