"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"OPTU","Turbat Intl","Turbat","Pakistan","PAK",25.986369444444446,63.030166666666666,"{""type"":""Point"",""coordinates"":[63.030166666666666,25.986369444444446]}"
"OPSW","Sawan","Sawan","Pakistan","PAK",26.965833333333332,68.88083333333333,"{""type"":""Point"",""coordinates"":[68.88083333333333,26.965833333333332]}"
"OPST","Sialkot Intl","Sialkot","Pakistan","PAK",32.535738888888886,74.36383055555555,"{""type"":""Point"",""coordinates"":[74.36383055555555,32.535738888888886]}"
"OPSD","Skardu","Skardu","Pakistan","PAK",35.33949166666667,75.54139444444445,"{""type"":""Point"",""coordinates"":[75.54139444444445,35.33949166666667]}"
"OPRT","Rawalakot","Rawalakot","Pakistan","PAK",33.84965833333334,73.79814722222223,"{""type"":""Point"",""coordinates"":[73.79814722222223,33.84965833333334]}"
"OPBT","Bhit","Bhit","Pakistan","PAK",26.195833333333333,67.50555555555556,"{""type"":""Point"",""coordinates"":[67.50555555555556,26.195833333333333]}"
"OPRN","Benazir Bhutto Intl","Islamabad","Pakistan","PAK",33.61676666666667,73.09873888888889,"{""type"":""Point"",""coordinates"":[73.09873888888889,33.61676666666667]}"
"OPQT","Samungli Intl","Quetta","Pakistan","PAK",30.252144444444443,66.93868055555556,"{""type"":""Point"",""coordinates"":[66.93868055555556,30.252144444444443]}"
"OPPS","Bacha Khan Intl","Peshawar","Pakistan","PAK",33.99391388888889,71.51458333333333,"{""type"":""Point"",""coordinates"":[71.51458333333333,33.99391388888889]}"
"OPPC","Parachinar","Parachinar","Pakistan","PAK",33.90269722222222,70.07141944444444,"{""type"":""Point"",""coordinates"":[70.07141944444444,33.90269722222222]}"
"OPZM","Zamzama","Zamzama","Pakistan","PAK",26.733888888888888,67.66805555555555,"{""type"":""Point"",""coordinates"":[67.66805555555555,26.733888888888888]}"
"OPPG","Panjgur","Panjgur","Pakistan","PAK",26.954544444444444,64.13251666666666,"{""type"":""Point"",""coordinates"":[64.13251666666666,26.954544444444444]}"
"OPKW","Kadanwari","Kadanwari","Pakistan","PAK",27.20638888888889,69.1563888888889,"{""type"":""Point"",""coordinates"":[69.1563888888889,27.20638888888889]}"
"OPOR","Ormara","Ormara","Pakistan","PAK",25.274930555555553,64.58613055555556,"{""type"":""Point"",""coordinates"":[64.58613055555556,25.274930555555553]}"
"OPNH","Nawabshah","Nawabshah","Pakistan","PAK",26.219441666666665,68.39005277777778,"{""type"":""Point"",""coordinates"":[68.39005277777778,26.219441666666665]}"
"OPFA","Faisalabad Intl","Faisalabad","Pakistan","PAK",31.365275,72.99554722222223,"{""type"":""Point"",""coordinates"":[72.99554722222223,31.365275]}"
"OPKD","Hyderabad","Hyderabad","Pakistan","PAK",25.31813888888889,68.36625555555555,"{""type"":""Point"",""coordinates"":[68.36625555555555,25.31813888888889]}"
"OPSS","Saidu Sharif","Saidu Sharif","Pakistan","PAK",34.81327222222222,72.35214444444443,"{""type"":""Point"",""coordinates"":[72.35214444444443,34.81327222222222]}"
"OPRK","Sheikh Zayed Intl","Rahim Yar Khan","Pakistan","PAK",28.38542222222222,70.27979722222221,"{""type"":""Point"",""coordinates"":[70.27979722222221,28.38542222222222]}"
"OPMF","Muzaffarabad","Muzaffarabad","Pakistan","PAK",34.339022222222226,73.50863888888888,"{""type"":""Point"",""coordinates"":[73.50863888888888,34.339022222222226]}"
"OPGT","Gilgit","Gilgit","Pakistan","PAK",35.91878611111111,74.33364444444445,"{""type"":""Point"",""coordinates"":[74.33364444444445,35.91878611111111]}"
"OPMJ","Moenjodaro","Moenjodaro","Pakistan","PAK",27.335155555555556,68.14305277777778,"{""type"":""Point"",""coordinates"":[68.14305277777778,27.335155555555556]}"
"OPGD","Gwadar Intl","Gwadar","Pakistan","PAK",25.233308333333333,62.32949444444445,"{""type"":""Point"",""coordinates"":[62.32949444444445,25.233308333333333]}"
"OPDG","Dera Ghazi Khan Intl","Dera Ghazi Khan","Pakistan","PAK",29.96111388888889,70.48559444444444,"{""type"":""Point"",""coordinates"":[70.48559444444444,29.96111388888889]}"
"OPDI","Dera Ismail Khan","Dera Ismail Khan","Pakistan","PAK",31.909422222222222,70.8966388888889,"{""type"":""Point"",""coordinates"":[70.8966388888889,31.909422222222222]}"
"OPCH","Chitral","Chitral","Pakistan","PAK",35.88619444444444,71.79991666666666,"{""type"":""Point"",""coordinates"":[71.79991666666666,35.88619444444444]}"
"OPZB","Zhob","Zhob","Pakistan","PAK",31.35826388888889,69.46389722222223,"{""type"":""Point"",""coordinates"":[69.46389722222223,31.35826388888889]}"
"OPLA","Allama Iqbal Intl","Lahore","Pakistan","PAK",31.52156111111111,74.40457500000001,"{""type"":""Point"",""coordinates"":[74.40457500000001,31.52156111111111]}"
"OPMT","Multan Intl","Multan","Pakistan","PAK",30.203222222222223,71.41911111111112,"{""type"":""Point"",""coordinates"":[71.41911111111112,30.203222222222223]}"
"OPDB","Dalbandin","Dalbandin","Pakistan","PAK",28.875016666666667,64.40461111111112,"{""type"":""Point"",""coordinates"":[64.40461111111112,28.875016666666667]}"
