"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MPSM","Cap Scarlet R Martinez L Intl","Rio Hato","Panama","PAN",8.38,-80.12972222222221,"{""type"":""Point"",""coordinates"":[-80.12972222222221,8.38]}"
"MPVC","Alvaro Berroa","Alvaro Berroa","Panama","PAN",8.770277777777778,-82.66444444444446,"{""type"":""Point"",""coordinates"":[-82.66444444444446,8.770277777777778]}"
"MPSB","Sambu","Sambu","Panama","PAN",8.026666666666667,-78.21000000000001,"{""type"":""Point"",""coordinates"":[-78.21000000000001,8.026666666666667]}"
"MPRA","Coronel Raul Arias Espinoza","Contadora Is","Panama","PAN",8.629166666666666,-79.03444444444445,"{""type"":""Point"",""coordinates"":[-79.03444444444445,8.629166666666666]}"
"MPGA","Garachine","Darien","Panama","PAN",8.068055555555555,-78.36638888888888,"{""type"":""Point"",""coordinates"":[-78.36638888888888,8.068055555555555]}"
"MPCO","Coiba","Veraguas","Panama","PAN",7.5072222222222225,-81.69805555555556,"{""type"":""Point"",""coordinates"":[-81.69805555555556,7.5072222222222225]}"
"MPPI","Pina","Pina","Panama","PAN",7.591388888888889,-78.17805555555556,"{""type"":""Point"",""coordinates"":[-78.17805555555556,7.591388888888889]}"
"MPPD","Cap. Justiniano Montanegro","Los Santos","Panama","PAN",7.534722222222222,-80.04333333333334,"{""type"":""Point"",""coordinates"":[-80.04333333333334,7.534722222222222]}"
"MPCM","Cap. Krish E. Persaud","Chame","Panama","PAN",8.589166666666667,-79.88972222222223,"{""type"":""Point"",""coordinates"":[-79.88972222222223,8.589166666666667]}"
"MPPA","Panama Pacifico","Balboa","Panama","PAN",8.914833333333334,-79.59958333333333,"{""type"":""Point"",""coordinates"":[-79.59958333333333,8.914833333333334]}"
"MPVR","El Porvenir","El Porvenir","Panama","PAN",9.559166666666668,-78.94666666666667,"{""type"":""Point"",""coordinates"":[-78.94666666666667,9.559166666666668]}"
"MPCH","Cap. Manuel Nino","Changuinola","Panama","PAN",9.458888888888888,-82.51527777777778,"{""type"":""Point"",""coordinates"":[-82.51527777777778,9.458888888888888]}"
"MPMG","Marcos A Gelabert Intl","Panama City","Panama","PAN",8.973333333333333,-79.55555555555556,"{""type"":""Point"",""coordinates"":[-79.55555555555556,8.973333333333333]}"
"MPTO","Tocumen Intl","Panama City","Panama","PAN",9.071388888888889,-79.38333333333334,"{""type"":""Point"",""coordinates"":[-79.38333333333334,9.071388888888889]}"
"MPSA","Ruben Cantu","Santiago","Panama","PAN",8.084166666666667,-80.94555555555556,"{""type"":""Point"",""coordinates"":[-80.94555555555556,8.084166666666667]}"
"MPMF","Miraflores","Darien","Panama","PAN",8.335555555555556,-78.13111111111111,"{""type"":""Point"",""coordinates"":[-78.13111111111111,8.335555555555556]}"
"MPLA","Las Lajas","Chiriqui","Panama","PAN",8.23472222222222,-81.88305555555554,"{""type"":""Point"",""coordinates"":[-81.88305555555554,8.23472222222222]}"
"MPRE","El Real","El Real","Panama","PAN",8.107222222222221,-77.72555555555556,"{""type"":""Point"",""coordinates"":[-77.72555555555556,8.107222222222221]}"
"MPJE","Jaque","Darien","Panama","PAN",7.5175,-78.1563888888889,"{""type"":""Point"",""coordinates"":[-78.1563888888889,7.5175]}"
"MPEJ","Enrique A Jimenez","Colon","Panama","PAN",9.360555555555555,-79.86722222222221,"{""type"":""Point"",""coordinates"":[-79.86722222222221,9.360555555555555]}"
"MPPN","Penonome","Penonome","Panama","PAN",8.504166666666666,-80.36027777777777,"{""type"":""Point"",""coordinates"":[-80.36027777777777,8.504166666666666]}"
"MPOA","Puerto Obaldia","Puerto Obaldia","Panama","PAN",8.669722222222221,-77.41527777777779,"{""type"":""Point"",""coordinates"":[-77.41527777777779,8.669722222222221]}"
"MPCL","Cap. Alex H. Bosquez","Calzada Larga","Panama","PAN",9.166666666666666,-79.54555555555555,"{""type"":""Point"",""coordinates"":[-79.54555555555555,9.166666666666666]}"
"MPGU","Augusto Vergara","Los Santos","Panama","PAN",7.8575,-80.2761111111111,"{""type"":""Point"",""coordinates"":[-80.2761111111111,7.8575]}"
"MPMI","San Miguel","San Miguel","Panama","PAN",8.454166666666666,-78.93138888888889,"{""type"":""Point"",""coordinates"":[-78.93138888888889,8.454166666666666]}"
"MPDA","Enrique Malek Intl","David","Panama","PAN",8.389166666666666,-82.4363888888889,"{""type"":""Point"",""coordinates"":[-82.4363888888889,8.389166666666666]}"
"MPWN","Wannukandi","Wannukandi","Panama","PAN",9.25611111111111,-78.11777777777777,"{""type"":""Point"",""coordinates"":[-78.11777777777777,9.25611111111111]}"
"MPCE","Cap Alonso Valderrama","Chitre","Panama","PAN",7.9880555555555555,-80.40972222222223,"{""type"":""Point"",""coordinates"":[-80.40972222222223,7.9880555555555555]}"
"MPBO","Bocas Del Toro Intl","Bocas Del Toro","Panama","PAN",9.340833333333334,-82.25083333333333,"{""type"":""Point"",""coordinates"":[-82.25083333333333,9.340833333333334]}"
