"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SPZA","Maria Reiche Neuman","Nazca","Peru","PER",-14.854138888888889,-74.96177222222222,"{""type"":""Point"",""coordinates"":[-74.96177222222222,-14.854138888888889]}"
"SPVN","Vilcashuaman","Vilcashuaman","Peru","PER",-13.678194444444443,-73.92708333333334,"{""type"":""Point"",""coordinates"":[-73.92708333333334,-13.678194444444443]}"
"SPTN","Col Carlos Ciriani Santa Rosa","Tacna","Peru","PER",-18.05328888888889,-70.27582222222222,"{""type"":""Point"",""coordinates"":[-70.27582222222222,-18.05328888888889]}"
"SPSO","Pisco","Pisco","Peru","PER",-13.7448,-76.22041111111112,"{""type"":""Point"",""coordinates"":[-76.22041111111112,-13.7448]}"
"SPSE","Sepahua","Sepahua","Peru","PER",-11.142222222222221,-73.03416666666666,"{""type"":""Point"",""coordinates"":[-73.03416666666666,-11.142222222222221]}"
"SPRU","Cap Carlos Martinez De Pinillos Intl","Trujillo","Peru","PER",-8.081708333333333,-79.10864722222222,"{""type"":""Point"",""coordinates"":[-79.10864722222222,-8.081708333333333]}"
"SPQU","Rodriguez Ballon","Arequipa","Peru","PER",-16.340577777777778,-71.57080277777777,"{""type"":""Point"",""coordinates"":[-71.57080277777777,-16.340577777777778]}"
"SPPY","Chachapoyas","Chachapoyas","Peru","PER",-6.201944444444445,-77.8561111111111,"{""type"":""Point"",""coordinates"":[-77.8561111111111,-6.201944444444445]}"
"SPPN","Palmas Del Espino","Palmas Del Espino","Peru","PER",-8.343722222222222,-76.48934722222222,"{""type"":""Point"",""coordinates"":[-76.48934722222222,-8.343722222222222]}"
"SPRM","Capitan Alvarino","San Ramon","Peru","PER",-11.108333333333333,-75.33333333333333,"{""type"":""Point"",""coordinates"":[-75.33333333333333,-11.108333333333333]}"
"SPON","Orellana","Orellana","Peru","PER",-6.8966666666666665,-75.15305555555557,"{""type"":""Point"",""coordinates"":[-75.15305555555557,-6.8966666666666665]}"
"SPOR","Minas Buenaventura","Orcopampa","Peru","PER",-15.31488888888889,-72.35199999999999,"{""type"":""Point"",""coordinates"":[-72.35199999999999,-15.31488888888889]}"
"SPNU","Manu","Manu","Peru","PER",-12.289277777777778,-70.89016666666667,"{""type"":""Point"",""coordinates"":[-70.89016666666667,-12.289277777777778]}"
"SPUR","Capt Guillermo Concha Iberico","Piura","Peru","PER",-5.20575,-80.61638888888888,"{""type"":""Point"",""coordinates"":[-80.61638888888888,-5.20575]}"
"SPNM","Nuevo Mundo","Nuevo Mundo","Peru","PER",-11.542358333333333,-73.14234444444445,"{""type"":""Point"",""coordinates"":[-73.14234444444445,-11.542358333333333]}"
"SPMS","Moises Benzaquen Rengifo","Yurimaguas","Peru","PER",-5.8936111111111105,-76.11805555555554,"{""type"":""Point"",""coordinates"":[-76.11805555555554,-5.8936111111111105]}"
"SPTU","Padre Jose Aldamiz","Puerto Maldonado","Peru","PER",-12.613830555555555,-69.22867777777778,"{""type"":""Point"",""coordinates"":[-69.22867777777778,-12.613830555555555]}"
"SPIR","Patria","Patria","Peru","PER",-12.967302777777778,-71.42912222222223,"{""type"":""Point"",""coordinates"":[-71.42912222222223,-12.967302777777778]}"
"SPMF","Major PNP Nancy Flores Paucar","Mazamari","Peru","PER",-11.325516666666667,-74.53582777777778,"{""type"":""Point"",""coordinates"":[-74.53582777777778,-11.325516666666667]}"
"SPUC","Huamachuco","Huamachuco","Peru","PER",-7.666666666666667,-78.08333333333333,"{""type"":""Point"",""coordinates"":[-78.08333333333333,-7.666666666666667]}"
"SPDN","Colonia Angamos","Colonia Angamos","Peru","PER",-5.137125,-72.86788888888888,"{""type"":""Point"",""coordinates"":[-72.86788888888888,-5.137125]}"
"SPME","Pedro Canga","Tumbes","Peru","PER",-3.5522638888888887,-80.38106944444444,"{""type"":""Point"",""coordinates"":[-80.38106944444444,-3.5522638888888887]}"
"SPLP","Las Palmas","Lima","Peru","PER",-12.160125,-76.99877777777778,"{""type"":""Point"",""coordinates"":[-76.99877777777778,-12.160125]}"
"SPQT","Col Francisco Secada Vignetta","Iquitos","Peru","PER",-3.7847388888888887,-73.30880555555555,"{""type"":""Point"",""coordinates"":[-73.30880555555555,-3.7847388888888887]}"
"SPEQ","Moquegua","Moquegua","Peru","PER",-17.177500000000002,-70.93472222222222,"{""type"":""Point"",""coordinates"":[-70.93472222222222,-17.177500000000002]}"
"SPLN","San Nicolas","Rodriguez De Mendoza","Peru","PER",-6.392222222222222,-77.50138888888888,"{""type"":""Point"",""coordinates"":[-77.50138888888888,-6.392222222222222]}"
"SPID","Teniente Bergerie","Teniente Bergerie","Peru","PER",-3.74225,-73.26033333333334,"{""type"":""Point"",""coordinates"":[-73.26033333333334,-3.74225]}"
"SPJR","Gen Armando Revoredo Iglesias","Cajamarca","Peru","PER",-7.139222222222223,-78.48952777777778,"{""type"":""Point"",""coordinates"":[-78.48952777777778,-7.139222222222223]}"
"SPRF","San Rafael","San Rafael","Peru","PER",-14.282194444444444,-70.37969444444444,"{""type"":""Point"",""coordinates"":[-70.37969444444444,-14.282194444444444]}"
"SPLX","Lib Mandy Metropolitano","Lima","Peru","PER",-12.389,-76.75806944444444,"{""type"":""Point"",""coordinates"":[-76.75806944444444,-12.389]}"
"SPCL","Cap FAP David Armando Abensur Rengifo Intl","Pucallpa","Peru","PER",-8.377941666666667,-74.5743,"{""type"":""Point"",""coordinates"":[-74.5743,-8.377941666666667]}"
"SPJL","Inca Manco Capac Intl","Juliaca","Peru","PER",-15.466858333333333,-70.15788333333334,"{""type"":""Point"",""coordinates"":[-70.15788333333334,-15.466858333333333]}"
"SPZO","Tnte FAP Alejandro Velazco Astete Intl","Cusco","Peru","PER",-13.535722222222223,-71.93878055555555,"{""type"":""Point"",""coordinates"":[-71.93878055555555,-13.535722222222223]}"
"SPTE","San Francisco","Teresita","Peru","PER",-12.533333333333333,-73.8,"{""type"":""Point"",""coordinates"":[-73.8,-12.533333333333333]}"
