"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"RPVZ","Siquijor Community","Siquijor","Philippines","PHL",9.211722222222221,123.47112777777778,"{""type"":""Point"",""coordinates"":[123.47112777777778,9.211722222222221]}"
"RPVY","Catbalogan Community","Catbalogan","Philippines","PHL",11.804775000000001,124.83084722222222,"{""type"":""Point"",""coordinates"":[124.83084722222222,11.804775000000001]}"
"RPVV","Francisco B. Reyes Principal","Busuanga","Philippines","PHL",12.121944444444445,120.1007361111111,"{""type"":""Point"",""coordinates"":[120.1007361111111,12.121944444444445]}"
"RPVS","Antique","San Jose de Buenavista","Philippines","PHL",10.766388888888889,121.9323888888889,"{""type"":""Point"",""coordinates"":[121.9323888888889,10.766388888888889]}"
"RPVR","Roxas","Roxas","Philippines","PHL",11.597555555555557,122.7529611111111,"{""type"":""Point"",""coordinates"":[122.7529611111111,11.597555555555557]}"
"RPVP","Puerto Princesa Intl","Puerto Princesa","Philippines","PHL",9.742119444444443,118.75872777777778,"{""type"":""Point"",""coordinates"":[118.75872777777778,9.742119444444443]}"
"RPVM","Lapu Lapu/Mactan-Cebu Intl","Lapu-Lapu","Philippines","PHL",10.307544444444446,123.97941944444445,"{""type"":""Point"",""coordinates"":[123.97941944444445,10.307544444444446]}"
"RPVK","Kalibo","Kalibo","Philippines","PHL",11.680363888888888,122.37647222222222,"{""type"":""Point"",""coordinates"":[122.37647222222222,11.680363888888888]}"
"RPVJ","Masbate Principal","Masbate","Philippines","PHL",12.3653,123.61807499999999,"{""type"":""Point"",""coordinates"":[123.61807499999999,12.3653]}"
"RPVF","Catarman","Catarman","Philippines","PHL",12.502230555555556,124.63585277777779,"{""type"":""Point"",""coordinates"":[124.63585277777779,12.502230555555556]}"
"RPVW","Borongan Community","San Julian","Philippines","PHL",11.673669444444444,125.48084722222222,"{""type"":""Point"",""coordinates"":[125.48084722222222,11.673669444444444]}"
"RPVA","Daniel Z Romualdez","Tacloban","Philippines","PHL",11.227625,125.02775555555556,"{""type"":""Point"",""coordinates"":[125.02775555555556,11.227625]}"
"RPVD","Dumaguete","Dumaguete","Philippines","PHL",9.334175,123.30208055555555,"{""type"":""Point"",""coordinates"":[123.30208055555555,9.334175]}"
"RPVC","Calbayog Principal","Calbayog","Philippines","PHL",12.076980555555556,124.54779444444445,"{""type"":""Point"",""coordinates"":[124.54779444444445,12.076980555555556]}"
"RPVB","Bacolod","Silay","Philippines","PHL",10.776602777777779,123.0191,"{""type"":""Point"",""coordinates"":[123.0191,10.776602777777779]}"
"RPUM","Mamburao Community","Mamburao","Philippines","PHL",13.204149999999998,120.60780555555554,"{""type"":""Point"",""coordinates"":[120.60780555555554,13.204149999999998]}"
"RPUZ","Bagabag Community","Bagabag","Philippines","PHL",16.619097222222223,121.25234722222223,"{""type"":""Point"",""coordinates"":[121.25234722222223,16.619097222222223]}"
"RPUY","Cauayan Community","Cauayan","Philippines","PHL",16.92977777777778,121.75330833333334,"{""type"":""Point"",""coordinates"":[121.75330833333334,16.92977777777778]}"
