"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"ESA","Esa'Ala","Esa'Ala","PNG","PNG",-9.870316666666668,150.95255,"{""type"":""Point"",""coordinates"":[150.95255,-9.870316666666668]}"
"AYXM","Komo","Komo","PNG","PNG",-6.063375,142.87680555555556,"{""type"":""Point"",""coordinates"":[142.87680555555556,-6.063375]}"
"AYWQ","Wakunai","Wakunai","PNG","PNG",-5.875000000000001,155.23333333333332,"{""type"":""Point"",""coordinates"":[155.23333333333332,-5.875000000000001]}"
"AYWG","Wanigela","Wanigela","PNG","PNG",-9.3368,149.15245000000002,"{""type"":""Point"",""coordinates"":[149.15245000000002,-9.3368]}"
"AYTJ","Tadji","Tadji","PNG","PNG",-3.1955999999999998,142.42481666666666,"{""type"":""Point"",""coordinates"":[142.42481666666666,-3.1955999999999998]}"
"AYTI","Tapini","Tapini","PNG","PNG",-8.358166666666666,146.99383333333333,"{""type"":""Point"",""coordinates"":[146.99383333333333,-8.358166666666666]}"
"AYTA","Tari","Tari","PNG","PNG",-5.8437166666666664,142.94613333333334,"{""type"":""Point"",""coordinates"":[142.94613333333334,-5.8437166666666664]}"
"AYSL","Sehulea","Sehulea","PNG","PNG",-9.961049999999998,151.16213333333334,"{""type"":""Point"",""coordinates"":[151.16213333333334,-9.961049999999998]}"
"AYSF","Safia","Safia","PNG","PNG",-9.594966666666668,148.63891666666666,"{""type"":""Point"",""coordinates"":[148.63891666666666,-9.594966666666668]}"
"AYSD","Saidor","Saidor","PNG","PNG",-5.624066666666667,146.45915,"{""type"":""Point"",""coordinates"":[146.45915,-5.624066666666667]}"
"AYPY","Jacksons","Port Moresby","PNG","PNG",-9.441466666666667,147.22045,"{""type"":""Point"",""coordinates"":[147.22045,-9.441466666666667]}"
"AYRI","Karimui","Karimui","PNG","PNG",-6.4947,144.82673333333332,"{""type"":""Point"",""coordinates"":[144.82673333333332,-6.4947]}"
"AYNZ","Nadzab","Lae","PNG","PNG",-6.569216666666667,146.72806666666668,"{""type"":""Point"",""coordinates"":[146.72806666666668,-6.569216666666667]}"
"AYNN","Kandep","Kandep","PNG","PNG",-5.840949999999999,143.51153333333335,"{""type"":""Point"",""coordinates"":[143.51153333333335,-5.840949999999999]}"
"AYMV","Malekolon","Malekolon","PNG","PNG",-4.0224166666666665,153.65661666666668,"{""type"":""Point"",""coordinates"":[153.65661666666668,-4.0224166666666665]}"
"AYMO","Momote","Momote","PNG","PNG",-2.0599833333333333,147.42411666666666,"{""type"":""Point"",""coordinates"":[147.42411666666666,-2.0599833333333333]}"
"AYVN","Vanimo","Vanimo","PNG","PNG",-2.697116666666667,141.30228333333335,"{""type"":""Point"",""coordinates"":[141.30228333333335,-2.697116666666667]}"
"AYTB","Tabubil","Tabubil","PNG","PNG",-5.279166666666667,141.22748333333334,"{""type"":""Point"",""coordinates"":[141.22748333333334,-5.279166666666667]}"
"AYMP","Malalaua","Malalaua","PNG","PNG",-8.073566666666666,146.16070000000002,"{""type"":""Point"",""coordinates"":[146.16070000000002,-8.073566666666666]}"
"AYKY","Kunaye","Lihir, Papa New Guinea","PNG","PNG",-3.043133333333333,152.62800000000001,"{""type"":""Point"",""coordinates"":[152.62800000000001,-3.043133333333333]}"
"AYGV","Green River","Green River","PNG","PNG",-3.9004666666666665,141.17776666666666,"{""type"":""Point"",""coordinates"":[141.17776666666666,-3.9004666666666665]}"
"AYKC","Kandrian","Kandrian","PNG","PNG",-6.198633333333333,149.54833333333332,"{""type"":""Point"",""coordinates"":[149.54833333333332,-6.198633333333333]}"
"AYMD","Madang","Madang","PNG","PNG",-5.208722222222223,145.78779722222222,"{""type"":""Point"",""coordinates"":[145.78779722222222,-5.208722222222223]}"
"AYGB","Gobe","Gobe","PNG","PNG",-6.8778500000000005,143.72188333333332,"{""type"":""Point"",""coordinates"":[143.72188333333332,-6.8778500000000005]}"
"AYKO","Kokoda","Kokoda","PNG","PNG",-8.888083333333332,147.73053333333334,"{""type"":""Point"",""coordinates"":[147.73053333333334,-8.888083333333332]}"
"AYTK","Tokua","Rabaul","PNG","PNG",-4.341033333333333,152.37921666666668,"{""type"":""Point"",""coordinates"":[152.37921666666668,-4.341033333333333]}"
"AYTE","Telefomin","Telefomin","PNG","PNG",-5.1292833333333325,141.63736666666665,"{""type"":""Point"",""coordinates"":[141.63736666666665,-5.1292833333333325]}"
"AYKM","Kerema","Kerema","PNG","PNG",-7.963816666666667,145.77186666666668,"{""type"":""Point"",""coordinates"":[145.77186666666668,-7.963816666666667]}"
"AYWD","Wapenamanda","Wapenamanda","PNG","PNG",-5.635316666666666,143.89231666666666,"{""type"":""Point"",""coordinates"":[143.89231666666666,-5.635316666666666]}"
"AYKI","Kiunga","Kiunga","PNG","PNG",-6.1251999999999995,141.28238333333334,"{""type"":""Point"",""coordinates"":[141.28238333333334,-6.1251999999999995]}"
"AYNX","Namatanai","Namatanai","PNG","PNG",-3.6727666666666665,152.44058333333334,"{""type"":""Point"",""coordinates"":[152.44058333333334,-3.6727666666666665]}"
"AYKA","Kiriwina","Kiriwina","PNG","PNG",-8.506283333333334,151.08093333333332,"{""type"":""Point"",""coordinates"":[151.08093333333332,-8.506283333333334]}"
"AYKW","Kawito","Kawito","PNG","PNG",-7.980483333333334,142.8239,"{""type"":""Point"",""coordinates"":[142.8239,-7.980483333333334]}"
"AYKV","Kavieng","Kavieng","PNG","PNG",-2.578983333333333,150.80742777777778,"{""type"":""Point"",""coordinates"":[150.80742777777778,-2.578983333333333]}"
"AYFI","Finschhafen","Finschhafen","PNG","PNG",-6.6217500000000005,147.85405,"{""type"":""Point"",""coordinates"":[147.85405,-6.6217500000000005]}"
"AYMH","Mount Hagen","Mount Hagen","PNG","PNG",-5.828916666666666,144.30053333333333,"{""type"":""Point"",""coordinates"":[144.30053333333333,-5.828916666666666]}"
"AYJS","Josephstall","Josephstall","PNG","PNG",-4.7494,145.00528333333332,"{""type"":""Point"",""coordinates"":[145.00528333333332,-4.7494]}"
