"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EPZG","Babimost","Zielona Gora","Poland","POL",52.13861111111111,15.79861111111111,"{""type"":""Point"",""coordinates"":[15.79861111111111,52.13861111111111]}"
"EPZA","Zamosc","Zamosc","Poland","POL",50.70194444444445,23.204166666666666,"{""type"":""Point"",""coordinates"":[23.204166666666666,50.70194444444445]}"
"EPWS","Szymanow","Szymanow","Poland","POL",51.20583333333334,16.998055555555556,"{""type"":""Point"",""coordinates"":[16.998055555555556,51.20583333333334]}"
"EPTM","Tomaszow Mazowiecki","Tomaszow Mazowiecki","Poland","POL",51.58444444444444,20.09722222222222,"{""type"":""Point"",""coordinates"":[20.09722222222222,51.58444444444444]}"
"EPSU","Suwalki","Suwalki","Poland","POL",54.07277777777778,22.899166666666666,"{""type"":""Point"",""coordinates"":[22.899166666666666,54.07277777777778]}"
"EPST","Turbia","Stalowa Wola","Poland","POL",50.6275,21.998055555555556,"{""type"":""Point"",""coordinates"":[21.998055555555556,50.6275]}"
"EPIR","Inowroclaw","Inowroclaw","Poland","POL",52.828611111111115,18.330277777777777,"{""type"":""Point"",""coordinates"":[18.330277777777777,52.828611111111115]}"
"EPGY","Grady","Grady","Poland","POL",52.83694444444445,21.7775,"{""type"":""Point"",""coordinates"":[21.7775,52.83694444444445]}"
"EPSK","Krepa","Slupsk","Poland","POL",54.40833333333333,17.095555555555553,"{""type"":""Point"",""coordinates"":[17.095555555555553,54.40833333333333]}"
"EPRJ","Rzeszow","Rzeszow","Poland","POL",50.10416666666667,22.046944444444446,"{""type"":""Point"",""coordinates"":[22.046944444444446,50.10416666666667]}"
"EPPZ","Przasnysz","Przasnysz","Poland","POL",53.01,20.933333333333334,"{""type"":""Point"",""coordinates"":[20.933333333333334,53.01]}"
"EPPW","Powidz","Powidz","Poland","POL",52.37916666666667,17.852222222222224,"{""type"":""Point"",""coordinates"":[17.852222222222224,52.37916666666667]}"
"EPBC","Babice","Warsaw","Poland","POL",52.26916666666666,20.90722222222222,"{""type"":""Point"",""coordinates"":[20.90722222222222,52.26916666666666]}"
"EPSN","Swidwin","Swidwin","Poland","POL",53.79055555555556,15.82638888888889,"{""type"":""Point"",""coordinates"":[15.82638888888889,53.79055555555556]}"
"EPPL","Plock","Plock","Poland","POL",52.56194444444444,19.71972222222222,"{""type"":""Point"",""coordinates"":[19.71972222222222,52.56194444444444]}"
"EPRA","Sadkow","Radom","Poland","POL",51.388888888888886,21.211666666666666,"{""type"":""Point"",""coordinates"":[21.211666666666666,51.388888888888886]}"
"EPPT","Piotrkow Trybunalski","Piotrkow Trybunalski","Poland","POL",51.3825,19.68861111111111,"{""type"":""Point"",""coordinates"":[19.68861111111111,51.3825]}"
"EPPR","Pruszcz Gdanski","Pruszcz Gdanski","Poland","POL",54.24805555555556,18.671111111111113,"{""type"":""Point"",""coordinates"":[18.671111111111113,54.24805555555556]}"
