"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LPVZ","Viseu","Viseu","Portugal","PRT",40.72555555555556,-7.889166666666666,"{""type"":""Point"",""coordinates"":[-7.889166666666666,40.72555555555556]}"
"LPTN","Tancos AB","Tancos","Portugal","PRT",39.47555555555556,-8.365,"{""type"":""Point"",""coordinates"":[-8.365,39.47555555555556]}"
"LPST","Sintra AB","Sintra","Portugal","PRT",38.83416666666667,-9.341111111111111,"{""type"":""Point"",""coordinates"":[-9.341111111111111,38.83416666666667]}"
"LPSO","Ponte De Sor","Ponte De Sor","Portugal","PRT",39.211666666666666,-8.057777777777778,"{""type"":""Point"",""coordinates"":[-8.057777777777778,39.211666666666666]}"
"LPSE","Seia","Seia","Portugal","PRT",40.452222222222225,-7.695555555555556,"{""type"":""Point"",""coordinates"":[-7.695555555555556,40.452222222222225]}"
"LPPS","Porto Santo","Porto Santo","Portugal","PRT",33.07083333333334,-16.349722222222223,"{""type"":""Point"",""coordinates"":[-16.349722222222223,33.07083333333334]}"
"LPPR","Francisco Sa Carneiro","Porto","Portugal","PRT",41.23555555555556,-8.678055555555554,"{""type"":""Point"",""coordinates"":[-8.678055555555554,41.23555555555556]}"
"LPPM","Portimao","Portimao","Portugal","PRT",37.14944444444444,-8.58388888888889,"{""type"":""Point"",""coordinates"":[-8.58388888888889,37.14944444444444]}"
"LPSC","Santa Cruz","Santa Cruz","Portugal","PRT",39.12361111111111,-9.38,"{""type"":""Point"",""coordinates"":[-9.38,39.12361111111111]}"
"LPOV","Ovar","Ovar","Portugal","PRT",40.92027777777778,-8.643888888888888,"{""type"":""Point"",""coordinates"":[-8.643888888888888,40.92027777777778]}"
"LPPN","Moitas","Proenca-a-Nova","Portugal","PRT",39.73111111111111,-7.874722222222223,"{""type"":""Point"",""coordinates"":[-7.874722222222223,39.73111111111111]}"
"LPMT","Montijo AB","Montijo","Portugal","PRT",38.705000000000005,-9.0375,"{""type"":""Point"",""coordinates"":[-9.0375,38.705000000000005]}"
"LPFC","Figueira dos Cavaleiros","Figueira dos Cavaleiros","Portugal","PRT",38.0775,-8.235833333333332,"{""type"":""Point"",""coordinates"":[-8.235833333333332,38.0775]}"
"LPSR","Cosme Pedrogao","Santarem","Portugal","PRT",39.20861111111111,-8.688611111111111,"{""type"":""Point"",""coordinates"":[-8.688611111111111,39.20861111111111]}"
"LPLZ","Lousa","Lousa","Portugal","PRT",40.14222222222222,-8.239999999999998,"{""type"":""Point"",""coordinates"":[-8.239999999999998,40.14222222222222]}"
"LPCB","Castelo Branco","Castelo Branco","Portugal","PRT",39.848333333333336,-7.441666666666667,"{""type"":""Point"",""coordinates"":[-7.441666666666667,39.848333333333336]}"
"LPJF","Gandara dos Olivais","Leiria","Portugal","PRT",39.782222222222224,-8.819722222222222,"{""type"":""Point"",""coordinates"":[-8.819722222222222,39.782222222222224]}"
"LPMI","Mirandela","Mirandela","Portugal","PRT",41.47027777777778,-7.227777777777778,"{""type"":""Point"",""coordinates"":[-7.227777777777778,41.47027777777778]}"
"LPAR","Alverca","Alverca","Portugal","PRT",38.885,-9.028333333333334,"{""type"":""Point"",""coordinates"":[-9.028333333333334,38.885]}"
"LPFA","Monte da Avioa","Ferreira do Alentejo","Portugal","PRT",38.03916666666667,-8.104166666666666,"{""type"":""Point"",""coordinates"":[-8.104166666666666,38.03916666666667]}"
"LPMN","Montemor-o-Novo","Amendoeira","Portugal","PRT",38.70916666666667,-8.275277777777779,"{""type"":""Point"",""coordinates"":[-8.275277777777779,38.70916666666667]}"
"LPBR","Braga","Braga","Portugal","PRT",41.58694444444445,-8.445,"{""type"":""Point"",""coordinates"":[-8.445,41.58694444444445]}"
"LPFR","Faro","Faro","Portugal","PRT",37.01444444444444,-7.965833333333333,"{""type"":""Point"",""coordinates"":[-7.965833333333333,37.01444444444444]}"
"LPVR","Vila Real","Vila Real","Portugal","PRT",41.275555555555556,-7.72,"{""type"":""Point"",""coordinates"":[-7.72,41.275555555555556]}"
"LPPT","Lisbon","Lisbon","Portugal","PRT",38.774166666666666,-9.134166666666665,"{""type"":""Point"",""coordinates"":[-9.134166666666665,38.774166666666666]}"
