"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SGST","Santa Teresa","Santa Teresa","Paraguay","PRY",-22.623333333333335,-56.635,"{""type"":""Point"",""coordinates"":[-56.635,-22.623333333333335]}"
"SGPJ","Augusto Roberto Fuster Intl","Pedro Juan Caballero","Paraguay","PRY",-22.641666666666666,-55.83166666666667,"{""type"":""Point"",""coordinates"":[-55.83166666666667,-22.641666666666666]}"
"SGEN","Ten. Amin Ayub G Intl","Encarnacion","Paraguay","PRY",-27.221974999999997,-55.83502222222222,"{""type"":""Point"",""coordinates"":[-55.83502222222222,-27.221974999999997]}"
"SGES","Guarani Intl","Minga Guazu","Paraguay","PRY",-25.455294444444444,-54.84176666666667,"{""type"":""Point"",""coordinates"":[-54.84176666666667,-25.455294444444444]}"
"SGBV","Icanimby","Bella Vista Norte","Paraguay","PRY",-22.121666666666666,-56.50833333333333,"{""type"":""Point"",""coordinates"":[-56.50833333333333,-22.121666666666666]}"
"SGOL","1ro Incencio Heredia","Fuerte Olimpo","Paraguay","PRY",-21.083333333333332,-57.86666666666667,"{""type"":""Point"",""coordinates"":[-57.86666666666667,-21.083333333333332]}"
"SGCO","Ten. Crl. P.A.M. Carmelo Peralta Intl","Concepcion","Paraguay","PRY",-23.440833333333334,-57.43,"{""type"":""Point"",""coordinates"":[-57.43,-23.440833333333334]}"
1679,"Pozo Colorado","Pozo Colorado","Paraguay","PRY",-23.441666666666666,-58.85333333333333,"{""type"":""Point"",""coordinates"":[-58.85333333333333,-23.441666666666666]}"
"SGAS","Silvio Pettirossi Intl","Asuncion","Paraguay","PRY",-25.24108888888889,-57.51682777777778,"{""type"":""Point"",""coordinates"":[-57.51682777777778,-25.24108888888889]}"
1903,"Guarani","Guarani","Paraguay","PRY",-25.453333333333333,-54.86,"{""type"":""Point"",""coordinates"":[-54.86,-25.453333333333333]}"
"SGNB","Sargento De Aviacion Nicolo Bo","Villa Hayes","Paraguay","PRY",-25.154999999999998,-57.56055555555555,"{""type"":""Point"",""coordinates"":[-57.56055555555555,-25.154999999999998]}"
"SGFI","Fernhein","Filadelfia","Paraguay","PRY",-22.366666666666667,-60.05,"{""type"":""Point"",""coordinates"":[-60.05,-22.366666666666667]}"
1898,"Bahia Negra","Bahia Negra","Paraguay","PRY",-20.216666666666665,-58.166666666666664,"{""type"":""Point"",""coordinates"":[-58.166666666666664,-20.216666666666665]}"
"SGME","Prof Dr Pac Luis Maria Argana Intl","Mariscal Estigarribia","Paraguay","PRY",-22.030569444444442,-60.62264166666667,"{""type"":""Point"",""coordinates"":[-60.62264166666667,-22.030569444444442]}"
"SGIB","Itaipu Intl","Hernandarias","Paraguay","PRY",-25.407830555555552,-54.619455555555554,"{""type"":""Point"",""coordinates"":[-54.619455555555554,-25.407830555555552]}"
