"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LRTZ","Tuzla","Tuzla","Romania","ROU",43.98416666666667,28.609722222222224,"{""type"":""Point"",""coordinates"":[28.609722222222224,43.98416666666667]}"
"LRTR","Traian Vuia","Timisoara","Romania","ROU",45.80983333333333,21.33787222222222,"{""type"":""Point"",""coordinates"":[21.33787222222222,45.80983333333333]}"
"LRTM","Transilvania-Targu Mures","Targu Mures","Romania","ROU",46.467777777777776,24.412499999999998,"{""type"":""Point"",""coordinates"":[24.412499999999998,46.467777777777776]}"
"LRTC","Delta Dunarii","Tulcea","Romania","ROU",45.062777777777775,28.714444444444442,"{""type"":""Point"",""coordinates"":[28.714444444444442,45.062777777777775]}"
"LRSV","Stefan cel Mare","Suceava","Romania","ROU",47.686388888888885,26.354444444444447,"{""type"":""Point"",""coordinates"":[26.354444444444447,47.686388888888885]}"
"LRSM","Satu Mare","Satu Mare","Romania","ROU",47.70333333333333,22.885555555555555,"{""type"":""Point"",""coordinates"":[22.885555555555555,47.70333333333333]}"
"LRPT","Geamana","Pitesti","Romania","ROU",44.8175,24.897777777777776,"{""type"":""Point"",""coordinates"":[24.897777777777776,44.8175]}"
"LROD","Oradea","Oradea","Romania","ROU",47.025277777777774,21.9025,"{""type"":""Point"",""coordinates"":[21.9025,47.025277777777774]}"
"LROP","Henri Coanda","Bucharest","Romania","ROU",44.571111111111115,26.084999999999997,"{""type"":""Point"",""coordinates"":[26.084999999999997,44.571111111111115]}"
"LRIA","Iasi","Iasi","Romania","ROU",47.180277777777775,27.620833333333334,"{""type"":""Point"",""coordinates"":[27.620833333333334,47.180277777777775]}"
"LRCL","Avram Iancu","Cluj-Napoca","Romania","ROU",46.78916666666667,23.692222222222224,"{""type"":""Point"",""coordinates"":[23.692222222222224,46.78916666666667]}"
"LRCK","Mihail Kogalniceanu-Constanta","Constanta","Romania","ROU",44.36222222222222,28.488333333333333,"{""type"":""Point"",""coordinates"":[28.488333333333333,44.36222222222222]}"
"LRPW","Gheorghe Valentin Bibescu","Ploiesti","Romania","ROU",44.92361111111111,25.96333333333333,"{""type"":""Point"",""coordinates"":[25.96333333333333,44.92361111111111]}"
"LRCV","Craiova","Craiova","Romania","ROU",44.31805555555556,23.88861111111111,"{""type"":""Point"",""coordinates"":[23.88861111111111,44.31805555555556]}"
"LRBM","Baia Mare","Baia Mare","Romania","ROU",47.658249999999995,23.466219444444445,"{""type"":""Point"",""coordinates"":[23.466219444444445,47.658249999999995]}"
"LRSB","Sibiu","Sibiu","Romania","ROU",45.78583333333333,24.085555555555555,"{""type"":""Point"",""coordinates"":[24.085555555555555,45.78583333333333]}"
"LRBC","Bacau","Bacau","Romania","ROU",46.52194444444444,26.910277777777775,"{""type"":""Point"",""coordinates"":[26.910277777777775,46.52194444444444]}"
"LRBS","Baneasa-Aurel Vlaicu","Bucharest","Romania","ROU",44.50361111111111,26.103611111111114,"{""type"":""Point"",""coordinates"":[26.103611111111114,44.50361111111111]}"
"LRAR","Arad","Arad","Romania","ROU",46.17666666666666,21.261944444444445,"{""type"":""Point"",""coordinates"":[21.261944444444445,46.17666666666666]}"
