"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"UWWW","Kurumoch","Samara","Russia","RUS",53.50111111111111,50.153888888888886,"{""type"":""Point"",""coordinates"":[50.153888888888886,53.50111111111111]}"
"UWUU","Ufa","Ufa","Russia","RUS",54.55777777777777,55.87388888888889,"{""type"":""Point"",""coordinates"":[55.87388888888889,54.55777777777777]}"
"UWPS","Saransk","Saransk","Russia","RUS",54.125277777777775,45.212500000000006,"{""type"":""Point"",""coordinates"":[45.212500000000006,54.125277777777775]}"
"UWPP","Penza","Penza","Russia","RUS",53.10916666666667,45.02611111111111,"{""type"":""Point"",""coordinates"":[45.02611111111111,53.10916666666667]}"
"UWLW","Vostochny","Ulyanovsk","Russia","RUS",54.39944444444444,48.801111111111105,"{""type"":""Point"",""coordinates"":[48.801111111111105,54.39944444444444]}"
"UWLL","Baratayevka","Ulyanovsk","Russia","RUS",54.26833333333333,48.22361111111111,"{""type"":""Point"",""coordinates"":[48.22361111111111,54.26833333333333]}"
"UWKJ","Yoshkar-Ola","Yoshkar-Ola","Russia","RUS",56.70527777777778,47.89527777777778,"{""type"":""Point"",""coordinates"":[47.89527777777778,56.70527777777778]}"
"UWKE","Begishevo","Begishevo","Russia","RUS",55.56472222222222,52.0925,"{""type"":""Point"",""coordinates"":[52.0925,55.56472222222222]}"
"UWGG","Strigino","Nizhny Novgorod","Russia","RUS",56.230000000000004,43.784166666666664,"{""type"":""Point"",""coordinates"":[43.784166666666664,56.230000000000004]}"
"UUYW","Vorkuta","Vorkuta","Russia","RUS",67.48916666666666,63.989444444444445,"{""type"":""Point"",""coordinates"":[63.989444444444445,67.48916666666666]}"
"UUYS","Usinsk","Usinsk","Russia","RUS",66.00472222222223,57.367222222222225,"{""type"":""Point"",""coordinates"":[57.367222222222225,66.00472222222223]}"
"UUYP","Pechora","Pechora","Russia","RUS",65.12138888888889,57.130833333333335,"{""type"":""Point"",""coordinates"":[57.130833333333335,65.12138888888889]}"
"UUWW","Vnukovo","Moscow","Russia","RUS",55.59916666666667,37.27305555555555,"{""type"":""Point"",""coordinates"":[37.27305555555555,55.59916666666667]}"
"UUOS","Stary Oskol","Stary Oskol","Russia","RUS",51.32916666666667,37.76916666666666,"{""type"":""Point"",""coordinates"":[37.76916666666666,51.32916666666667]}"
"UUOD","Pridacha","Voronezh","Russia","RUS",51.65333333333333,39.25666666666667,"{""type"":""Point"",""coordinates"":[39.25666666666667,51.65333333333333]}"
"UWOO","Orenburg","Orenburg","Russia","RUS",51.795833333333334,55.45666666666667,"{""type"":""Point"",""coordinates"":[55.45666666666667,51.795833333333334]}"
"ULMM","Murmansk","Murmansk","Russia","RUS",68.78166666666667,32.75111111111111,"{""type"":""Point"",""coordinates"":[32.75111111111111,68.78166666666667]}"
"UUMB","Kubinka","Kubinka","Russia","RUS",55.61138888888889,36.647777777777776,"{""type"":""Point"",""coordinates"":[36.647777777777776,55.61138888888889]}"
"UHKD","Dzyomgi","Komsomolsk-Na-Amure","Russia","RUS",50.60527777777778,137.07999999999998,"{""type"":""Point"",""coordinates"":[137.07999999999998,50.60527777777778]}"
"URWW","Gumrak","Volgograd","Russia","RUS",48.7825,44.345555555555556,"{""type"":""Point"",""coordinates"":[44.345555555555556,48.7825]}"
"UUBI","Yuzhny","Ivanovo","Russia","RUS",56.942499999999995,40.93222222222222,"{""type"":""Point"",""coordinates"":[40.93222222222222,56.942499999999995]}"
"UWKB","Bugulma","Bugulma","Russia","RUS",54.64138888888889,52.800555555555555,"{""type"":""Point"",""coordinates"":[52.800555555555555,54.64138888888889]}"
"UUBA","Sokerkino","Kostroma","Russia","RUS",57.79666666666667,41.018055555555556,"{""type"":""Point"",""coordinates"":[41.018055555555556,57.79666666666667]}"
"USSS","Koltsovo","Yekaterinburg","Russia","RUS",56.74305555555556,60.80305555555555,"{""type"":""Point"",""coordinates"":[60.80305555555555,56.74305555555556]}"
"USRR","Surgut","Surgut","Russia","RUS",61.34388888888889,73.40222222222222,"{""type"":""Point"",""coordinates"":[73.40222222222222,61.34388888888889]}"
"UNKL","Yemelyanovo","Krasnoyarsk","Russia","RUS",56.17305555555555,92.49333333333334,"{""type"":""Point"",""coordinates"":[92.49333333333334,56.17305555555555]}"
"USRO","Noyabrsk","Noyabrsk","Russia","RUS",63.18388888888889,75.26888888888888,"{""type"":""Point"",""coordinates"":[75.26888888888888,63.18388888888889]}"
"USPP","Bolshoe Savino","Perm","Russia","RUS",57.91444444444444,56.021388888888886,"{""type"":""Point"",""coordinates"":[56.021388888888886,57.91444444444444]}"
"UWKS","Cheboksary","Cheboksary","Russia","RUS",56.09027777777778,47.34722222222222,"{""type"":""Point"",""coordinates"":[47.34722222222222,56.09027777777778]}"
"USKK","Pobedilovo","Kirov","Russia","RUS",58.50361111111111,49.34722222222222,"{""type"":""Point"",""coordinates"":[49.34722222222222,58.50361111111111]}"
"USDD","Salekhard","Salekhard","Russia","RUS",66.59055555555555,66.6111111111111,"{""type"":""Point"",""coordinates"":[66.6111111111111,66.59055555555555]}"
"UUDL","Tunoshna","Yaroslavl","Russia","RUS",57.56055555555555,40.1575,"{""type"":""Point"",""coordinates"":[40.1575,57.56055555555555]}"
"USII","Izhevsk","Izhevsk","Russia","RUS",56.83527777777778,53.462500000000006,"{""type"":""Point"",""coordinates"":[53.462500000000006,56.83527777777778]}"
"USMU","Novy Urengoy","Novy Urengoy","Russia","RUS",66.07,76.51944444444445,"{""type"":""Point"",""coordinates"":[76.51944444444445,66.07]}"
"UESU","Zyryanka","Zyryanka","Russia","RUS",65.74833333333333,150.88833333333332,"{""type"":""Point"",""coordinates"":[150.88833333333332,65.74833333333333]}"
"USHS","Sovetskiy","Sovetskiy","Russia","RUS",61.324444444444445,63.60444444444445,"{""type"":""Point"",""coordinates"":[63.60444444444445,61.324444444444445]}"
"UUOL","Lipetsk","Lipetsk","Russia","RUS",52.70333333333333,39.53777777777778,"{""type"":""Point"",""coordinates"":[39.53777777777778,52.70333333333333]}"
"USHQ","Beloyarskiy","Beloyarskiy","Russia","RUS",63.68805555555555,66.69972222222222,"{""type"":""Point"",""coordinates"":[66.69972222222222,63.68805555555555]}"
"ULAA","Talagi","Arkhangelsk","Russia","RUS",64.60027777777778,40.71666666666667,"{""type"":""Point"",""coordinates"":[40.71666666666667,64.60027777777778]}"
"UOOO","Alykel","Norilsk","Russia","RUS",69.3111111111111,87.33194444444445,"{""type"":""Point"",""coordinates"":[87.33194444444445,69.3111111111111]}"
"URMO","Beslan","Vladikavkaz","Russia","RUS",43.20527777777778,44.60666666666667,"{""type"":""Point"",""coordinates"":[44.60666666666667,43.20527777777778]}"
"UUBW","Ramenskoye","Ramenskoye","Russia","RUS",55.55277777777778,38.14972222222222,"{""type"":""Point"",""coordinates"":[38.14972222222222,55.55277777777778]}"
"UHWE","Yedinka","Yedinka","Russia","RUS",47.18,138.6483333333333,"{""type"":""Point"",""coordinates"":[138.6483333333333,47.18]}"
"USDA","Sabetta","Sabetta","Russia","RUS",71.21444444444445,72.03888888888889,"{""type"":""Point"",""coordinates"":[72.03888888888889,71.21444444444445]}"
"USHN","Nyagan","Nyagan","Russia","RUS",62.11055555555556,65.61388888888888,"{""type"":""Point"",""coordinates"":[65.61388888888888,62.11055555555556]}"
"UERO","Olenyok","Olenyok","Russia","RUS",68.51611111111112,112.48,"{""type"":""Point"",""coordinates"":[112.48,68.51611111111112]}"
"USDK","Mys Kamenyy","Mys Kamenyy","Russia","RUS",68.46722222222222,73.59722222222221,"{""type"":""Point"",""coordinates"":[73.59722222222221,68.46722222222222]}"
"URWA","Astrakhan","Astrakhan","Russia","RUS",46.28333333333333,48.006388888888885,"{""type"":""Point"",""coordinates"":[48.006388888888885,46.28333333333333]}"
"UUOK","Vostochny","Kursk","Russia","RUS",51.75055555555556,36.29555555555555,"{""type"":""Point"",""coordinates"":[36.29555555555555,51.75055555555556]}"
"URWI","Elista","Elista","Russia","RUS",46.374722222222225,44.323888888888895,"{""type"":""Point"",""coordinates"":[44.323888888888895,46.374722222222225]}"
"UWKD","Kazan","Kazan","Russia","RUS",55.606944444444444,49.280277777777776,"{""type"":""Point"",""coordinates"":[49.280277777777776,55.606944444444444]}"
"UIBB","Bratsk","Bratsk","Russia","RUS",56.370555555555555,101.69861111111112,"{""type"":""Point"",""coordinates"":[101.69861111111112,56.370555555555555]}"
"USTR","Roshchino","Tyumen","Russia","RUS",57.16833333333333,65.31611111111111,"{""type"":""Point"",""coordinates"":[65.31611111111111,57.16833333333333]}"
"UUOO","Chertovitskoye","Voronezh","Russia","RUS",51.815,39.22972222222222,"{""type"":""Point"",""coordinates"":[39.22972222222222,51.815]}"
"USRK","Kogalym","Kogalym","Russia","RUS",62.190555555555555,74.53361111111111,"{""type"":""Point"",""coordinates"":[74.53361111111111,62.190555555555555]}"
"URRT","Yuzhny","Taganrog","Russia","RUS",47.19833333333333,38.84916666666667,"{""type"":""Point"",""coordinates"":[38.84916666666667,47.19833333333333]}"
"UEMH","Tyoply Klyuch","Tyoply Klyuch","Russia","RUS",62.78944444444444,136.855,"{""type"":""Point"",""coordinates"":[136.855,62.78944444444444]}"
"URRR","Rostov-Na-Donu","Rostov-Na-Donu","Russia","RUS",47.25833333333333,39.81805555555556,"{""type"":""Point"",""coordinates"":[39.81805555555556,47.25833333333333]}"
"UHMK","Keperveyem","Keperveyem","Russia","RUS",67.84694444444445,166.13527777777776,"{""type"":""Point"",""coordinates"":[166.13527777777776,67.84694444444445]}"
"URMS","Magas","Sleptsovskaya","Russia","RUS",43.32361111111111,45.01222222222222,"{""type"":""Point"",""coordinates"":[45.01222222222222,43.32361111111111]}"
"UNNE","Yeltsovka","Novosibirsk","Russia","RUS",55.09166666666667,83.0038888888889,"{""type"":""Point"",""coordinates"":[83.0038888888889,55.09166666666667]}"
"UUOT","Donskoye","Tambov","Russia","RUS",52.805,41.483333333333334,"{""type"":""Point"",""coordinates"":[41.483333333333334,52.805]}"
"USHU","Uray","Uray","Russia","RUS",60.10722222222223,64.82583333333334,"{""type"":""Point"",""coordinates"":[64.82583333333334,60.10722222222223]}"
"URMM","Mineralnyye Vody","Mineralnyye Vody","Russia","RUS",44.22680555555556,43.08302777777778,"{""type"":""Point"",""coordinates"":[43.08302777777778,44.22680555555556]}"
"UUDD","Domodedovo","Moscow","Russia","RUS",55.40861111111111,37.906388888888884,"{""type"":""Point"",""coordinates"":[37.906388888888884,55.40861111111111]}"
"ULPB","Besovets","Petrozavodsk","Russia","RUS",61.88527777777778,34.15472222222222,"{""type"":""Point"",""coordinates"":[34.15472222222222,61.88527777777778]}"
"UEMO","Olekminsk","Olekminsk","Russia","RUS",60.40083333333333,120.47083333333333,"{""type"":""Point"",""coordinates"":[120.47083333333333,60.40083333333333]}"
"USUU","Kurgan","Kurgan","Russia","RUS",55.475,65.41527777777779,"{""type"":""Point"",""coordinates"":[65.41527777777779,55.475]}"
"UUYH","Ukhta","Ukhta","Russia","RUS",63.566944444444445,53.80444444444444,"{""type"":""Point"",""coordinates"":[53.80444444444444,63.566944444444445]}"
"URML","Uytash","Makhachkala","Russia","RUS",42.81679722222223,47.652408333333334,"{""type"":""Point"",""coordinates"":[47.652408333333334,42.81679722222223]}"
"URKG","Gelendzhik","Gelendzhik","Russia","RUS",44.581944444444446,38.01305555555555,"{""type"":""Point"",""coordinates"":[38.01305555555555,44.581944444444446]}"
"URKA","Vityazevo","Anapa","Russia","RUS",45.00222222222222,37.34722222222222,"{""type"":""Point"",""coordinates"":[37.34722222222222,45.00222222222222]}"
"UNTT","Bogashevo","Tomsk","Russia","RUS",56.38305555555556,85.21055555555556,"{""type"":""Point"",""coordinates"":[85.21055555555556,56.38305555555556]}"
