"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"OERT","Ras Tanura","Ras Tanura","Saudi Arabia","SAU",26.723333333333333,50.031666666666666,"{""type"":""Point"",""coordinates"":[50.031666666666666,26.723333333333333]}"
"OEWD","Wadi Al Dawasir","Wadi Al Dawasir","Saudi Arabia","SAU",20.504166666666666,45.19888888888889,"{""type"":""Point"",""coordinates"":[45.19888888888889,20.504166666666666]}"
"OESK","Al Jouf","Al Jouf","Saudi Arabia","SAU",29.78527777777778,40.099722222222226,"{""type"":""Point"",""coordinates"":[40.099722222222226,29.78527777777778]}"
"OETR","Turaif","Turaif","Saudi Arabia","SAU",31.692777777777778,38.73111111111111,"{""type"":""Point"",""coordinates"":[38.73111111111111,31.692777777777778]}"
"OETN","Ras Tanajib","Ras Tanajib","Saudi Arabia","SAU",27.868333333333332,48.76833333333333,"{""type"":""Point"",""coordinates"":[48.76833333333333,27.868333333333332]}"
"OEBQ","Abqaiq","Abqaiq","Saudi Arabia","SAU",25.911666666666665,49.59166666666667,"{""type"":""Point"",""coordinates"":[49.59166666666667,25.911666666666665]}"
"OESH","Sharurah","Sharurah","Saudi Arabia","SAU",17.466944444444444,47.12138888888889,"{""type"":""Point"",""coordinates"":[47.12138888888889,17.466944444444444]}"
"OESB","Shaybah","Shaybah","Saudi Arabia","SAU",22.515,53.965,"{""type"":""Point"",""coordinates"":[53.965,22.515]}"
"OERY","King Salman AB","Riyadh","Saudi Arabia","SAU",24.721944444444443,46.724722222222226,"{""type"":""Point"",""coordinates"":[46.724722222222226,24.721944444444443]}"
"OEPJ","Pump Station 10","Pump Station 10","Saudi Arabia","SAU",24.10666666666667,41.03666666666666,"{""type"":""Point"",""coordinates"":[41.03666666666666,24.10666666666667]}"
"OEST","Shabitah","Shabitah","Saudi Arabia","SAU",22.70888888888889,53.28472222222222,"{""type"":""Point"",""coordinates"":[53.28472222222222,22.70888888888889]}"
"OEWJ","Wejh","Wejh","Saudi Arabia","SAU",26.198611111111113,36.476111111111116,"{""type"":""Point"",""coordinates"":[36.476111111111116,26.198611111111113]}"
"OERR","Arar","Arar","Saudi Arabia","SAU",30.906666666666666,41.138333333333335,"{""type"":""Point"",""coordinates"":[41.138333333333335,30.906666666666666]}"
"OERM","Ras Mishab","Ras Mishab","Saudi Arabia","SAU",28.078888888888887,48.611111111111114,"{""type"":""Point"",""coordinates"":[48.611111111111114,28.078888888888887]}"
"OEBH","Bisha","Bisha","Saudi Arabia","SAU",19.984166666666667,42.62305555555555,"{""type"":""Point"",""coordinates"":[42.62305555555555,19.984166666666667]}"
"OEAD","Aradah","Aradah","Saudi Arabia","SAU",21.21861111111111,55.26222222222222,"{""type"":""Point"",""coordinates"":[55.26222222222222,21.21861111111111]}"
"OERF","Rafha","Rafha","Saudi Arabia","SAU",29.62638888888889,43.49055555555556,"{""type"":""Point"",""coordinates"":[43.49055555555556,29.62638888888889]}"
"OERB","Rabigh","Rabigh","Saudi Arabia","SAU",22.7025,39.07,"{""type"":""Point"",""coordinates"":[39.07,22.7025]}"
"OEKN","Khurais","Khurais","Saudi Arabia","SAU",25.26527777777778,48.17833333333333,"{""type"":""Point"",""coordinates"":[48.17833333333333,25.26527777777778]}"
"OEPF","Pump Station 6","Pump Station 6","Saudi Arabia","SAU",24.710752777777778,44.96463888888889,"{""type"":""Point"",""coordinates"":[44.96463888888889,24.710752777777778]}"
"OETB","Sultan Bin Abdulaziz","Tabuk","Saudi Arabia","SAU",28.373055555555556,36.62138888888889,"{""type"":""Point"",""coordinates"":[36.62138888888889,28.373055555555556]}"
"OEPC","Pump Station 3","Pump Station 3","Saudi Arabia","SAU",25.175,47.48833333333334,"{""type"":""Point"",""coordinates"":[47.48833333333334,25.175]}"
"OEUD","Udhailiyah","Udhailiyah","Saudi Arabia","SAU",25.151041666666664,49.32870833333334,"{""type"":""Point"",""coordinates"":[49.32870833333334,25.151041666666664]}"
"OEGN","King Abdullah Bin Abdulaziz","Jazan","Saudi Arabia","SAU",16.90111111111111,42.58583333333333,"{""type"":""Point"",""coordinates"":[42.58583333333333,16.90111111111111]}"
"OEKK","King Saud AB","Hafr Al Batin","Saudi Arabia","SAU",27.90083333333333,45.528055555555554,"{""type"":""Point"",""coordinates"":[45.528055555555554,27.90083333333333]}"
"OEPA","Hafr Al Batin","Al Qaisumah","Saudi Arabia","SAU",28.335277777777776,46.125,"{""type"":""Point"",""coordinates"":[46.125,28.335277777777776]}"
"OEJN","King Abdulaziz Intl","Jeddah","Saudi Arabia","SAU",21.68111111111111,39.15555555555555,"{""type"":""Point"",""coordinates"":[39.15555555555555,21.68111111111111]}"
"OEBT","Batha","Batha","Saudi Arabia","SAU",24.21611111111111,51.45,"{""type"":""Point"",""coordinates"":[51.45,24.21611111111111]}"
"OEJL","King Abdulaziz Naval Base","Jubil","Saudi Arabia","SAU",26.941666666666666,49.70416666666667,"{""type"":""Point"",""coordinates"":[49.70416666666667,26.941666666666666]}"
"OEBN","Thablotin","Thablotin","Saudi Arabia","SAU",19.833055555555557,54.020833333333336,"{""type"":""Point"",""coordinates"":[54.020833333333336,19.833055555555557]}"
"OEDM","King Salman Bin Abdulaziz","Al Dawadmi","Saudi Arabia","SAU",24.449722222222224,44.12111111111111,"{""type"":""Point"",""coordinates"":[44.12111111111111,24.449722222222224]}"
"OEMA","Pr Mohammad Bin Abdulaziz Intl","Madinah","Saudi Arabia","SAU",24.55027777777778,39.70583333333334,"{""type"":""Point"",""coordinates"":[39.70583333333334,24.55027777777778]}"
"OEKM","King Khaled AB","Khamis Mushait","Saudi Arabia","SAU",18.301111111111112,42.80083333333333,"{""type"":""Point"",""coordinates"":[42.80083333333333,18.301111111111112]}"
"OEJF","King Faisal Navy Base","Jeddah","Saudi Arabia","SAU",21.348055555555554,39.17305555555555,"{""type"":""Point"",""coordinates"":[39.17305555555555,21.348055555555554]}"
"OEDR","King Abdulaziz AB","Dhahran","Saudi Arabia","SAU",26.264166666666668,50.152499999999996,"{""type"":""Point"",""coordinates"":[50.152499999999996,26.264166666666668]}"
"OEHW","Hawtah","Hawtah","Saudi Arabia","SAU",22.966666666666665,46.9,"{""type"":""Point"",""coordinates"":[46.9,22.966666666666665]}"
"OEHL","Hail","Hail","Saudi Arabia","SAU",27.439722222222223,41.686388888888885,"{""type"":""Point"",""coordinates"":[41.686388888888885,27.439722222222223]}"
"OEJB","Jubail","Jubail","Saudi Arabia","SAU",27.03888888888889,49.405,"{""type"":""Point"",""coordinates"":[49.405,27.03888888888889]}"
"OEAO","Prince Abdulmajeed bin Abdulaziz","Al Ula","Saudi Arabia","SAU",26.483055555555556,38.118611111111115,"{""type"":""Point"",""coordinates"":[38.118611111111115,26.483055555555556]}"
"OEHR","Harad","Harad","Saudi Arabia","SAU",24.101666666666667,49.223333333333336,"{""type"":""Point"",""coordinates"":[49.223333333333336,24.101666666666667]}"
"OEYN","Prince Abdulmohsin bin Abdulaziz","Yenbo","Saudi Arabia","SAU",24.144166666666667,38.06361111111111,"{""type"":""Point"",""coordinates"":[38.06361111111111,24.144166666666667]}"
"OEGT","Guriat","Guriat","Saudi Arabia","SAU",31.411944444444444,37.279444444444444,"{""type"":""Point"",""coordinates"":[37.279444444444444,31.411944444444444]}"
"OEPI","Pump Station 9","Pump Station 9","Saudi Arabia","SAU",24.276075,42.143794444444445,"{""type"":""Point"",""coordinates"":[42.143794444444445,24.276075]}"
"OEGS","Prince Naif Bin Abdulaziz","Gassim","Saudi Arabia","SAU",26.302777777777777,43.774166666666666,"{""type"":""Point"",""coordinates"":[43.774166666666666,26.302777777777777]}"
"OEOM","Um Almelh","Um Almelh","Saudi Arabia","SAU",19.109722222222224,50.11944444444445,"{""type"":""Point"",""coordinates"":[50.11944444444445,19.109722222222224]}"
"OENG","Nejran","Nejran","Saudi Arabia","SAU",17.61138888888889,44.41916666666666,"{""type"":""Point"",""coordinates"":[44.41916666666666,17.61138888888889]}"
"OEDF","King Fahd Intl","Dammam","Saudi Arabia","SAU",26.47111111111111,49.797777777777775,"{""type"":""Point"",""coordinates"":[49.797777777777775,26.47111111111111]}"
"OEBA","Al Baha","Al Baha","Saudi Arabia","SAU",20.296111111111113,41.634166666666665,"{""type"":""Point"",""coordinates"":[41.634166666666665,20.296111111111113]}"
"OEAH","Al Ahsa","Al Ahsa","Saudi Arabia","SAU",25.28611111111111,49.486111111111114,"{""type"":""Point"",""coordinates"":[49.486111111111114,25.28611111111111]}"
"OEPS","Prince Sultan AB","Al Kharj","Saudi Arabia","SAU",24.070555555555554,47.56222222222222,"{""type"":""Point"",""coordinates"":[47.56222222222222,24.070555555555554]}"
"OETF","Taif","Taif","Saudi Arabia","SAU",21.483333333333334,40.544444444444444,"{""type"":""Point"",""coordinates"":[40.544444444444444,21.483333333333334]}"
"OERK","King Khaled Intl","Riyadh","Saudi Arabia","SAU",24.962777777777777,46.70805555555556,"{""type"":""Point"",""coordinates"":[46.70805555555556,24.962777777777777]}"
"OEAB","Abha","Abha","Saudi Arabia","SAU",18.240277777777777,42.656388888888884,"{""type"":""Point"",""coordinates"":[42.656388888888884,18.240277777777777]}"
