"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"HSSS","Khartoum","Khartoum","Sudan","SDN",15.590355555555556,32.553152777777775,"{""type"":""Point"",""coordinates"":[32.553152777777775,15.590355555555556]}"
"HSDN","Dongola","Dongola","Sudan","SDN",19.152619444444444,30.430216666666666,"{""type"":""Point"",""coordinates"":[30.430216666666666,19.152619444444444]}"
"HSOB","El Obeid","El Obeid","Sudan","SDN",13.1529,30.232699999999998,"{""type"":""Point"",""coordinates"":[30.232699999999998,13.1529]}"
"HSNN","Nyala","Nyala","Sudan","SDN",12.05348888888889,24.956125,"{""type"":""Point"",""coordinates"":[24.956125,12.05348888888889]}"
"HSSW","Wadi Halfa","Wadi Halfa","Sudan","SDN",21.802797222222225,31.52198333333333,"{""type"":""Point"",""coordinates"":[31.52198333333333,21.802797222222225]}"
"HSMN","Merowe New","Merowe","Sudan","SDN",18.443,31.84358333333333,"{""type"":""Point"",""coordinates"":[31.84358333333333,18.443]}"
"HSSG","Genena Sebera","Genena Sebera","Sudan","SDN",13.478361111111111,22.53805555555556,"{""type"":""Point"",""coordinates"":[22.53805555555556,13.478361111111111]}"
"HSLI","Kadugli","Kadugli","Sudan","SDN",11.138052777777776,29.701113888888887,"{""type"":""Point"",""coordinates"":[29.701113888888887,11.138052777777776]}"
"HSWW","Wau","Wau","Sudan","SDN",7.725747222222222,27.97495,"{""type"":""Point"",""coordinates"":[27.97495,7.725747222222222]}"
"HSKA","Kassala","Kassala","Sudan","SDN",15.387494444444444,36.32884166666667,"{""type"":""Point"",""coordinates"":[36.32884166666667,15.387494444444444]}"
"HSFS","El Fashir","El Fashir","Sudan","SDN",13.614891666666667,25.32465,"{""type"":""Point"",""coordinates"":[25.32465,13.614891666666667]}"
"HSGN","Geneina","Geneina","Sudan","SDN",13.483477777777777,22.47251111111111,"{""type"":""Point"",""coordinates"":[22.47251111111111,13.483477777777777]}"
"HSSM","Malakal","Malakal","Sudan","SDN",9.558969444444445,31.652241666666665,"{""type"":""Point"",""coordinates"":[31.652241666666665,9.558969444444445]}"
"HSPN","Port Sudan","Port Sudan","Sudan","SDN",19.43363888888889,37.234075000000004,"{""type"":""Point"",""coordinates"":[37.234075000000004,19.43363888888889]}"
"HSDZ","Damazin","Damazin","Sudan","SDN",11.78598611111111,34.33662777777778,"{""type"":""Point"",""coordinates"":[34.33662777777778,11.78598611111111]}"
"HSAT","Atbara","Atbara","Sudan","SDN",17.709652777777777,34.05735277777777,"{""type"":""Point"",""coordinates"":[34.05735277777777,17.709652777777777]}"
