"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"GOTT","Tambacounda","Tambacounda","Senegal","SEN",13.732691666666668,-13.658,"{""type"":""Point"",""coordinates"":[-13.658,13.732691666666668]}"
"GOTS","Simenti","Simenti","Senegal","SEN",13.05,-13.3,"{""type"":""Point"",""coordinates"":[-13.3,13.05]}"
"GOSP","Podor","Podor","Senegal","SEN",16.683333333333334,-14.966666666666667,"{""type"":""Point"",""coordinates"":[-14.966666666666667,16.683333333333334]}"
"GOTB","Bakel","Bakel","Senegal","SEN",14.866666666666667,-12.483333333333333,"{""type"":""Point"",""coordinates"":[-12.483333333333333,14.866666666666667]}"
"GOSM","Ouro Sogui","Matam","Senegal","SEN",15.59388888888889,-13.322222222222223,"{""type"":""Point"",""coordinates"":[-13.322222222222223,15.59388888888889]}"
"GOOK","Kaolack","Kaolack","Senegal","SEN",14.14472222222222,-16.054444444444446,"{""type"":""Point"",""coordinates"":[-16.054444444444446,14.14472222222222]}"
"GOGS","Cap Skirring","Cap Skirring","Senegal","SEN",12.388958333333333,-16.741583333333335,"{""type"":""Point"",""coordinates"":[-16.741583333333335,12.388958333333333]}"
"GOSR","Richard Toll","Richard Toll","Senegal","SEN",16.433333333333334,-15.65,"{""type"":""Point"",""coordinates"":[-15.65,16.433333333333334]}"
"GOGK","Sare Bidji","Kolda","Senegal","SEN",12.9,-14.966666666666667,"{""type"":""Point"",""coordinates"":[-14.966666666666667,12.9]}"
"GOSS","St Louis","St Louis","Senegal","SEN",16.049805555555558,-16.461055555555554,"{""type"":""Point"",""coordinates"":[-16.461055555555554,16.049805555555558]}"
"GOTK","Kedougou","Kedougou","Senegal","SEN",12.566666666666666,-12.216666666666667,"{""type"":""Point"",""coordinates"":[-12.216666666666667,12.566666666666666]}"
"GOOY","Leopold Sedar Senghor","Dakar","Senegal","SEN",14.743833333333333,-17.479305555555555,"{""type"":""Point"",""coordinates"":[-17.479305555555555,14.743833333333333]}"
"GOGG","Ziguinchor","Ziguinchor","Senegal","SEN",12.555927777777779,-16.276869444444444,"{""type"":""Point"",""coordinates"":[-16.276869444444444,12.555927777777779]}"
