"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"AGOB","Mana'oba","Mana'oba Island","Solomon Is","SLB",-8.32145,160.79586666666665,"{""type"":""Point"",""coordinates"":[160.79586666666665,-8.32145]}"
"AGKG","Kaghau","Kaghau","Solomon Is","SLB",-7.331666666666666,157.58666666666667,"{""type"":""Point"",""coordinates"":[157.58666666666667,-7.331666666666666]}"
"AGGY","Yandina/Russell Islands","Yandina","Solomon Is","SLB",-9.093833333333334,159.21833333333333,"{""type"":""Point"",""coordinates"":[159.21833333333333,-9.093833333333334]}"
"AGGV","Suavanao","Suavanao","Solomon Is","SLB",-7.583333333333333,158.73333333333332,"{""type"":""Point"",""coordinates"":[158.73333333333332,-7.583333333333333]}"
"AGLM","Lomlom","Lomlom Island","Solomon Is","SLB",-10.294722222222221,166.31944444444443,"{""type"":""Point"",""coordinates"":[166.31944444444443,-10.294722222222221]}"
"AGGU","Marau/Paruru","Marau","Solomon Is","SLB",-9.86425,160.82256666666666,"{""type"":""Point"",""coordinates"":[160.82256666666666,-9.86425]}"
"AGGS","Seghe","Seghe","Solomon Is","SLB",-8.578475,157.87566944444444,"{""type"":""Point"",""coordinates"":[157.87566944444444,-8.578475]}"
"AGGC","Choiseul","Choiseul","Solomon Is","SLB",-6.712033333333333,156.39619444444443,"{""type"":""Point"",""coordinates"":[156.39619444444443,-6.712033333333333]}"
"AGGQ","Ontong Java","Ontong Java","Solomon Is","SLB",-5.506666666666667,159.52666666666667,"{""type"":""Point"",""coordinates"":[159.52666666666667,-5.506666666666667]}"
"AGGP","Parasi","Parasi","Solomon Is","SLB",-9.643611111111111,161.42822222222222,"{""type"":""Point"",""coordinates"":[161.42822222222222,-9.643611111111111]}"
"AGGK","Kirakira","Kirakira","Solomon Is","SLB",-10.441666666666666,161.89666666666665,"{""type"":""Point"",""coordinates"":[161.89666666666665,-10.441666666666666]}"
"AGGO","Mono/Stirling Island","Mono","Solomon Is","SLB",-7.415,155.56666666666666,"{""type"":""Point"",""coordinates"":[155.56666666666666,-7.415]}"
"AGGE","Ballalae","Ballalae","Solomon Is","SLB",-6.983333333333333,155.885,"{""type"":""Point"",""coordinates"":[155.885,-6.983333333333333]}"
"AGGI","Babanakira","Babanakira","Solomon Is","SLB",-9.74776111111111,159.83965833333335,"{""type"":""Point"",""coordinates"":[159.83965833333335,-9.74776111111111]}"
"AGRC","Ringicove","Ringicove","Solomon Is","SLB",-8.118333333333334,157.14166666666665,"{""type"":""Point"",""coordinates"":[157.14166666666665,-8.118333333333334]}"
"AGGH","Honiara Intl /Henderson Field","Honiara","Solomon Is","SLB",-9.421666666666667,160.05166666666668,"{""type"":""Point"",""coordinates"":[160.05166666666668,-9.421666666666667]}"
"AGGN","Gizo","Gizo","Solomon Is","SLB",-8.091666666666667,156.86333333333332,"{""type"":""Point"",""coordinates"":[156.86333333333332,-8.091666666666667]}"
"AGGF","Maringe","Fera","Solomon Is","SLB",-8.10746111111111,159.57711388888887,"{""type"":""Point"",""coordinates"":[159.57711388888887,-8.10746111111111]}"
"AGGR","Rennell/Tingoa","Rennell","Solomon Is","SLB",-11.56,160.06166666666667,"{""type"":""Point"",""coordinates"":[160.06166666666667,-11.56]}"
"AGGM","Munda","Munda","Solomon Is","SLB",-8.32,157.26166666666666,"{""type"":""Point"",""coordinates"":[157.26166666666666,-8.32]}"
"AGGT","Santa Anna","Santa Anna","Solomon Is","SLB",-10.848347222222223,162.45455555555554,"{""type"":""Point"",""coordinates"":[162.45455555555554,-10.848347222222223]}"
"AGGL","Santa Cruz/Graciosa Bay/Luovo","Santa Cruz","Solomon Is","SLB",-10.713333333333333,165.79333333333332,"{""type"":""Point"",""coordinates"":[165.79333333333332,-10.713333333333333]}"
"AGGJ","Avu Avu","Avu Avu","Solomon Is","SLB",-9.868177777777777,160.41039166666667,"{""type"":""Point"",""coordinates"":[160.41039166666667,-9.868177777777777]}"
"AGAT","Atoifi","Atoifi","Solomon Is","SLB",-8.873333333333333,161.0115,"{""type"":""Point"",""coordinates"":[161.0115,-8.873333333333333]}"
"AGGB","Bellona","Bellona","Solomon Is","SLB",-11.295,159.79666666666665,"{""type"":""Point"",""coordinates"":[159.79666666666665,-11.295]}"
"AGGA","Auki","Auki","Solomon Is","SLB",-8.70268611111111,160.68169722222223,"{""type"":""Point"",""coordinates"":[160.68169722222223,-8.70268611111111]}"
