"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LZZI","Zilina","Zilina","Slovakia","SVK",49.233333333333334,18.613611111111112,"{""type"":""Point"",""coordinates"":[18.613611111111112,49.233333333333334]}"
"LZMA","Martin","Martin","Slovakia","SVK",49.06527777777777,18.950833333333332,"{""type"":""Point"",""coordinates"":[18.950833333333332,49.06527777777777]}"
"LZSV","Spisska Nova Ves","Spisska Nova Ves","Slovakia","SVK",48.94083333333333,20.53388888888889,"{""type"":""Point"",""coordinates"":[20.53388888888889,48.94083333333333]}"
"LZSL","Sliac","Sliac","Slovakia","SVK",48.63805555555555,19.134166666666665,"{""type"":""Point"",""coordinates"":[19.134166666666665,48.63805555555555]}"
"LZPE","Prievidza","Prievidza","Slovakia","SVK",48.76611111111111,18.586666666666666,"{""type"":""Point"",""coordinates"":[18.586666666666666,48.76611111111111]}"
"LZDB","Dubnica","Dubnica","Slovakia","SVK",48.996944444444445,18.192222222222224,"{""type"":""Point"",""coordinates"":[18.192222222222224,48.996944444444445]}"
"LZKZ","Kosice","Kosice","Slovakia","SVK",48.66305555555555,21.241111111111113,"{""type"":""Point"",""coordinates"":[21.241111111111113,48.66305555555555]}"
"LZNI","Nitra","Nitra","Slovakia","SVK",48.279444444444444,18.13277777777778,"{""type"":""Point"",""coordinates"":[18.13277777777778,48.279444444444444]}"
"LZPT","Male Bielice","Male Bielice","Slovakia","SVK",48.62027777777778,18.333333333333332,"{""type"":""Point"",""coordinates"":[18.333333333333332,48.62027777777778]}"
"LZTT","Tatry","Poprad","Slovakia","SVK",49.07361111111111,20.241111111111113,"{""type"":""Point"",""coordinates"":[20.241111111111113,49.07361111111111]}"
"LZTN","Trencin","Trencin","Slovakia","SVK",48.86416666666667,17.992222222222225,"{""type"":""Point"",""coordinates"":[17.992222222222225,48.86416666666667]}"
"LZJS","Jasna","Jasna","Slovakia","SVK",49.04805555555556,19.506666666666668,"{""type"":""Point"",""coordinates"":[19.506666666666668,49.04805555555556]}"
"LZPP","Piestany","Piestany","Slovakia","SVK",48.625,17.828611111111112,"{""type"":""Point"",""coordinates"":[17.828611111111112,48.625]}"
"LZKS","Kralova","Kralova pri Senci","Slovakia","SVK",48.20166666666667,17.474999999999998,"{""type"":""Point"",""coordinates"":[17.474999999999998,48.20166666666667]}"
"LZNZ","Nove Zamky","Nove Zamky","Slovakia","SVK",47.961666666666666,18.183888888888887,"{""type"":""Point"",""coordinates"":[18.183888888888887,47.961666666666666]}"
"LZIB","M.R. Stefanik","Bratislava","Slovakia","SVK",48.169999999999995,17.212777777777777,"{""type"":""Point"",""coordinates"":[17.212777777777777,48.169999999999995]}"
"LZDV","Dubova","Dubova","Slovakia","SVK",48.346944444444446,17.35666666666667,"{""type"":""Point"",""coordinates"":[17.35666666666667,48.346944444444446]}"
"LZSK","Svidnik","Svidnik","Slovakia","SVK",49.33388888888889,21.57027777777778,"{""type"":""Point"",""coordinates"":[21.57027777777778,49.33388888888889]}"
