"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LJPO","Postojna","Postojna","Slovenia","SVN",45.75388888888889,14.195833333333333,"{""type"":""Point"",""coordinates"":[14.195833333333333,45.75388888888889]}"
"LJPZ","Secovlje","Portoroz","Slovenia","SVN",45.473333333333336,13.615,"{""type"":""Point"",""coordinates"":[13.615,45.473333333333336]}"
"LJAJ","Ajdovscina","Ajdovscina","Slovenia","SVN",45.88916666666667,13.885833333333332,"{""type"":""Point"",""coordinates"":[13.885833333333332,45.88916666666667]}"
"LJMB","Orehova Vas","Maribor","Slovenia","SVN",46.480000000000004,15.686111111111112,"{""type"":""Point"",""coordinates"":[15.686111111111112,46.480000000000004]}"
"LJLJ","Brnik","Ljubljana","Slovenia","SVN",46.224444444444444,14.45611111111111,"{""type"":""Point"",""coordinates"":[14.45611111111111,46.224444444444444]}"
"LJSG","Slovenj Gradec","Slovenj Gradec","Slovenia","SVN",46.47166666666667,15.1175,"{""type"":""Point"",""coordinates"":[15.1175,46.47166666666667]}"
"LJ01","Sentvid","Sentvid","Slovenia","SVN",45.94416666666666,14.855,"{""type"":""Point"",""coordinates"":[14.855,45.94416666666666]}"
"LJDI","Divaca","Divaca","Slovenia","SVN",45.683141666666664,14.002844444444445,"{""type"":""Point"",""coordinates"":[14.002844444444445,45.683141666666664]}"
"LJCL","Celje","Celje","Slovenia","SVN",46.245555555555555,15.223055555555556,"{""type"":""Point"",""coordinates"":[15.223055555555556,46.245555555555555]}"
"LJMS","Murska Sobota","Murska Sobota","Slovenia","SVN",46.62972222222222,16.175555555555558,"{""type"":""Point"",""coordinates"":[16.175555555555558,46.62972222222222]}"
"LJBO","Bovec","Bovec","Slovenia","SVN",46.32888888888889,13.54888888888889,"{""type"":""Point"",""coordinates"":[13.54888888888889,46.32888888888889]}"
"LJNM","Novo Mesto","Novo Mesto","Slovenia","SVN",45.8,15.101944444444444,"{""type"":""Point"",""coordinates"":[15.101944444444444,45.8]}"
"LJBL","Bled","Lesce","Slovenia","SVN",46.35638888888889,14.174444444444443,"{""type"":""Point"",""coordinates"":[14.174444444444443,46.35638888888889]}"
"LJCE","Cerklje ob Krki","Cerklje ob Krki","Slovenia","SVN",45.9,15.530277777777778,"{""type"":""Point"",""coordinates"":[15.530277777777778,45.9]}"
