"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"ESVS","Siljansnas","Siljansnas","Sweden","SWE",60.785,14.827222222222222,"{""type"":""Point"",""coordinates"":[14.827222222222222,60.785]}"
"ESVM","Skinnlanda","Malung","Sweden","SWE",60.65888888888889,13.726666666666667,"{""type"":""Point"",""coordinates"":[13.726666666666667,60.65888888888889]}"
"ESVH","Hallefors","Hallefors","Sweden","SWE",59.8675,14.42361111111111,"{""type"":""Point"",""coordinates"":[14.42361111111111,59.8675]}"
"ESUV","Alvsbyn","Alvsbyn","Sweden","SWE",65.64583333333334,21.06138888888889,"{""type"":""Point"",""coordinates"":[21.06138888888889,65.64583333333334]}"
"ESUT","Hemavan Tarnaby","Hemavan Tarnaby","Sweden","SWE",65.80611111111111,15.082777777777778,"{""type"":""Point"",""coordinates"":[15.082777777777778,65.80611111111111]}"
"ESVA","Avesta","Avesta","Sweden","SWE",60.180277777777775,16.122777777777777,"{""type"":""Point"",""coordinates"":[16.122777777777777,60.180277777777775]}"
"ESUS","Asele","Asele","Sweden","SWE",64.15916666666668,17.274444444444445,"{""type"":""Point"",""coordinates"":[17.274444444444445,64.15916666666668]}"
"ESVQ","Koping","Koping","Sweden","SWE",59.527519444444444,15.969633333333334,"{""type"":""Point"",""coordinates"":[15.969633333333334,59.527519444444444]}"
"ESUR","Ramsele","Ramsele","Sweden","SWE",63.49027777777778,16.483611111111113,"{""type"":""Point"",""coordinates"":[16.483611111111113,63.49027777777778]}"
"ESUP","Pajala","Pajala","Sweden","SWE",67.24583333333334,23.06888888888889,"{""type"":""Point"",""coordinates"":[23.06888888888889,67.24583333333334]}"
"ESVB","Bunge","Bunge","Sweden","SWE",57.85,19.038333333333334,"{""type"":""Point"",""coordinates"":[19.038333333333334,57.85]}"
"ESUL","Ljusdal","Ljusdal","Sweden","SWE",61.816944444444445,16.004166666666666,"{""type"":""Point"",""coordinates"":[16.004166666666666,61.816944444444445]}"
"ESUE","Idre","Idre","Sweden","SWE",61.86972222222222,12.689444444444444,"{""type"":""Point"",""coordinates"":[12.689444444444444,61.86972222222222]}"
"ESUD","Storuman","Storuman","Sweden","SWE",64.96083333333334,17.696666666666665,"{""type"":""Point"",""coordinates"":[17.696666666666665,64.96083333333334]}"
"ESVK","Katrineholm","Katrineholm","Sweden","SWE",59.02222222222222,16.220277777777778,"{""type"":""Point"",""coordinates"":[16.220277777777778,59.02222222222222]}"
"ESSZ","Gnesta","Stockholm","Sweden","SWE",59.10111111111111,17.211111111111112,"{""type"":""Point"",""coordinates"":[17.211111111111112,59.10111111111111]}"
"ESNM","Optand","Optand","Sweden","SWE",63.125277777777775,14.808333333333334,"{""type"":""Point"",""coordinates"":[14.808333333333334,63.125277777777775]}"
"ESSU","Eskilstuna","Eskilstuna","Sweden","SWE",59.352222222222224,16.708333333333332,"{""type"":""Point"",""coordinates"":[16.708333333333332,59.352222222222224]}"
"ESST","Torsby","Torsby","Sweden","SWE",60.15472222222222,12.993611111111111,"{""type"":""Point"",""coordinates"":[12.993611111111111,60.15472222222222]}"
"ESFS","Sandvik","Sandvik","Sweden","SWE",57.068333333333335,16.86416666666667,"{""type"":""Point"",""coordinates"":[16.86416666666667,57.068333333333335]}"
"ESSM","Brattforsheden","Brattforsheden","Sweden","SWE",59.608333333333334,13.912222222222223,"{""type"":""Point"",""coordinates"":[13.912222222222223,59.608333333333334]}"
"ESSP","Kungsangen","Norrkoping","Sweden","SWE",58.586111111111116,16.24638888888889,"{""type"":""Point"",""coordinates"":[16.24638888888889,58.586111111111116]}"
"ESSL","Saab","Linkoping","Sweden","SWE",58.406388888888884,15.679722222222221,"{""type"":""Point"",""coordinates"":[15.679722222222221,58.406388888888884]}"
"ESSV","Visby","Visby","Sweden","SWE",57.66277777777778,18.34611111111111,"{""type"":""Point"",""coordinates"":[18.34611111111111,57.66277777777778]}"
"ESSK","Gavle","Gavle","Sweden","SWE",60.593333333333334,16.95138888888889,"{""type"":""Point"",""coordinates"":[16.95138888888889,60.593333333333334]}"
"ESUJ","Talje","Ange","Sweden","SWE",62.56527777777777,15.834722222222222,"{""type"":""Point"",""coordinates"":[15.834722222222222,62.56527777777777]}"
"ESSI","Visingso","Visingso","Sweden","SWE",58.09861111111111,14.4025,"{""type"":""Point"",""coordinates"":[14.4025,58.09861111111111]}"
"ESTT","Vellinge","Vellinge","Sweden","SWE",55.39611111111111,13.025277777777779,"{""type"":""Point"",""coordinates"":[13.025277777777779,55.39611111111111]}"
"ESUH","Myran","Harnosand","Sweden","SWE",62.63361111111111,17.981388888888887,"{""type"":""Point"",""coordinates"":[17.981388888888887,62.63361111111111]}"
"ESKM","Siljan","Mora","Sweden","SWE",60.95861111111111,14.510555555555555,"{""type"":""Point"",""coordinates"":[14.510555555555555,60.95861111111111]}"
"ESNA","Hallviken","Hallviken","Sweden","SWE",63.73833333333334,15.458888888888888,"{""type"":""Point"",""coordinates"":[15.458888888888888,63.73833333333334]}"
"ESSE","Ska-Edeby","Stockholm","Sweden","SWE",59.345,17.740555555555556,"{""type"":""Point"",""coordinates"":[17.740555555555556,59.345]}"
"ESSD","Borlange","Borlange","Sweden","SWE",60.42222222222222,15.515,"{""type"":""Point"",""coordinates"":[15.515,60.42222222222222]}"
"ESCM","Uppsala","Uppsala","Sweden","SWE",59.900277777777774,17.592499999999998,"{""type"":""Point"",""coordinates"":[17.592499999999998,59.900277777777774]}"
"ESTA","Angelholm","Angelholm","Sweden","SWE",56.29111111111111,12.855,"{""type"":""Point"",""coordinates"":[12.855,56.29111111111111]}"
"ESSB","Bromma","Stockholm","Sweden","SWE",59.35444444444445,17.942222222222224,"{""type"":""Point"",""coordinates"":[17.942222222222224,59.35444444444445]}"
"ESGR","Skovde","Skovde","Sweden","SWE",58.45611111111111,13.972777777777777,"{""type"":""Point"",""coordinates"":[13.972777777777777,58.45611111111111]}"
"ESOH","Hagfors","Hagfors","Sweden","SWE",60.02111111111111,13.578888888888889,"{""type"":""Point"",""coordinates"":[13.578888888888889,60.02111111111111]}"
"ESNU","Umea","Umea","Sweden","SWE",63.793055555555554,20.279999999999998,"{""type"":""Point"",""coordinates"":[20.279999999999998,63.793055555555554]}"
"ESQO","Arboga","Arboga","Sweden","SWE",59.388333333333335,15.920833333333333,"{""type"":""Point"",""coordinates"":[15.920833333333333,59.388333333333335]}"
"ESNP","Pitea","Pitea","Sweden","SWE",65.39833333333334,21.260833333333334,"{""type"":""Point"",""coordinates"":[21.260833333333334,65.39833333333334]}"
"ES08","Odestugu","Jonkoping","Sweden","SWE",57.60333333333333,14.296666666666667,"{""type"":""Point"",""coordinates"":[14.296666666666667,57.60333333333333]}"
"ESNO","Ornskoldsvik","Ornskoldsvik","Sweden","SWE",63.407777777777774,18.9925,"{""type"":""Point"",""coordinates"":[18.9925,63.407777777777774]}"
"ESNN","Sundsvall-Timra","Sundsvall-Timra","Sweden","SWE",62.529444444444444,17.442777777777778,"{""type"":""Point"",""coordinates"":[17.442777777777778,62.529444444444444]}"
"ES05","Lunda","Gimo","Sweden","SWE",60.132777777777775,18.105,"{""type"":""Point"",""coordinates"":[18.105,60.132777777777775]}"
"ESNH","Hudiksvall","Hudiksvall","Sweden","SWE",61.76833333333333,17.080555555555556,"{""type"":""Point"",""coordinates"":[17.080555555555556,61.76833333333333]}"
"ES09","Mala","Mala","Sweden","SWE",65.21666666666667,18.68888888888889,"{""type"":""Point"",""coordinates"":[18.68888888888889,65.21666666666667]}"
"ESGT","Trollhattan-Vanersborg","Trollhattan-Vanersborg","Sweden","SWE",58.31805555555556,12.345,"{""type"":""Point"",""coordinates"":[12.345,58.31805555555556]}"
"ESFA","Bokeberg","Hassleholm","Sweden","SWE",56.13361111111111,13.87888888888889,"{""type"":""Point"",""coordinates"":[13.87888888888889,56.13361111111111]}"
"ESNB","Solleftea","Solleftea","Sweden","SWE",63.17111111111111,16.985555555555557,"{""type"":""Point"",""coordinates"":[16.985555555555557,63.17111111111111]}"
"ESSH","Laxa","Laxa","Sweden","SWE",58.97868888888889,14.666225,"{""type"":""Point"",""coordinates"":[14.666225,58.97868888888889]}"
"ESSX","Johannisberg","Vasteras","Sweden","SWE",59.575833333333335,16.503055555555555,"{""type"":""Point"",""coordinates"":[16.503055555555555,59.575833333333335]}"
"ESMT","Halmstad","Halmstad","Sweden","SWE",56.69083333333333,12.82,"{""type"":""Point"",""coordinates"":[12.82,56.69083333333333]}"
"ESMK","Kristianstad","Kristianstad","Sweden","SWE",55.92055555555555,14.085277777777778,"{""type"":""Point"",""coordinates"":[14.085277777777778,55.92055555555555]}"
"ESMY","Smalandsstenar","Smalandsstenar","Sweden","SWE",57.16861111111111,13.44,"{""type"":""Point"",""coordinates"":[13.44,57.16861111111111]}"
"ESMV","Hagshult","Hagshult","Sweden","SWE",57.29222222222222,14.136944444444444,"{""type"":""Point"",""coordinates"":[14.136944444444444,57.29222222222222]}"
"ESMZ","Olanda","Olanda","Sweden","SWE",57.328611111111115,17.05027777777778,"{""type"":""Point"",""coordinates"":[17.05027777777778,57.328611111111115]}"
"ESOE","Orebro","Orebro","Sweden","SWE",59.22805555555556,15.04,"{""type"":""Point"",""coordinates"":[15.04,59.22805555555556]}"
"ESMU","Mockeln","Almhult","Sweden","SWE",56.57055555555556,14.16638888888889,"{""type"":""Point"",""coordinates"":[14.16638888888889,56.57055555555556]}"
"ESMB","Borglanda","Borglanda","Sweden","SWE",56.863055555555555,16.65611111111111,"{""type"":""Point"",""coordinates"":[16.65611111111111,56.863055555555555]}"
"ESMS","Malmo","Malmo","Sweden","SWE",55.54833333333333,13.353333333333333,"{""type"":""Point"",""coordinates"":[13.353333333333333,55.54833333333333]}"
"ESTL","Ljungbyhed","Ljungbyhed","Sweden","SWE",56.08527777777778,13.206944444444444,"{""type"":""Point"",""coordinates"":[13.206944444444444,56.08527777777778]}"
"ESSW","Vastervik","Vastervik","Sweden","SWE",57.78,16.52361111111111,"{""type"":""Point"",""coordinates"":[16.52361111111111,57.78]}"
"ESGL","Lidkoping","Lidkoping","Sweden","SWE",58.46527777777778,13.174444444444443,"{""type"":""Point"",""coordinates"":[13.174444444444443,58.46527777777778]}"
"ESNV","Vilhelmina","Vilhelmina","Sweden","SWE",64.5786111111111,16.83972222222222,"{""type"":""Point"",""coordinates"":[16.83972222222222,64.5786111111111]}"
"ESMQ","Kalmar","Kalmar","Sweden","SWE",56.68555555555555,16.2875,"{""type"":""Point"",""coordinates"":[16.2875,56.68555555555555]}"
"ESNG","Gallivare","Gallivare","Sweden","SWE",67.13305555555554,20.81222222222222,"{""type"":""Point"",""coordinates"":[20.81222222222222,67.13305555555554]}"
"ESSA","Arlanda","Stockholm","Sweden","SWE",59.651944444444446,17.91861111111111,"{""type"":""Point"",""coordinates"":[17.91861111111111,59.651944444444446]}"
"ESUK","Kalixfors","Kalixfors","Sweden","SWE",67.76527777777778,20.26222222222222,"{""type"":""Point"",""coordinates"":[20.26222222222222,67.76527777777778]}"
"ESMC","Ranneslatt","Eksjo","Sweden","SWE",57.66638888888889,14.946944444444444,"{""type"":""Point"",""coordinates"":[14.946944444444444,57.66638888888889]}"
"ESMO","Oskarshamn","Oskarshamn","Sweden","SWE",57.35194444444445,16.498333333333335,"{""type"":""Point"",""coordinates"":[16.498333333333335,57.35194444444445]}"
"ESOW","Vaesteraas","Stockholm","Sweden","SWE",59.589444444444446,16.63361111111111,"{""type"":""Point"",""coordinates"":[16.63361111111111,59.589444444444446]}"
"ESML","Landskrona","Landskrona","Sweden","SWE",55.94444444444444,12.869444444444445,"{""type"":""Point"",""coordinates"":[12.869444444444445,55.94444444444444]}"
"ES12","Norberg","Norberg","Sweden","SWE",60.108333333333334,15.955555555555556,"{""type"":""Point"",""coordinates"":[15.955555555555556,60.108333333333334]}"
"ESGS","Nasinge","Stromstad","Sweden","SWE",59.01694444444444,11.343611111111112,"{""type"":""Point"",""coordinates"":[11.343611111111112,59.01694444444444]}"
"ESUY","Edsbyn","Edsbyn","Sweden","SWE",61.386944444444445,15.833333333333334,"{""type"":""Point"",""coordinates"":[15.833333333333334,61.386944444444445]}"
"ESNQ","Kiruna","Kiruna","Sweden","SWE",67.82126111111111,20.335591666666666,"{""type"":""Point"",""coordinates"":[20.335591666666666,67.82126111111111]}"
"ESMH","Hoganas","Hoganas","Sweden","SWE",56.18472222222222,12.575833333333334,"{""type"":""Point"",""coordinates"":[12.575833333333334,56.18472222222222]}"
"ESGM","Oresten","Oresten","Sweden","SWE",57.445277777777775,12.648888888888889,"{""type"":""Point"",""coordinates"":[12.648888888888889,57.445277777777775]}"
"ESSG","Ludvika","Ludvika","Sweden","SWE",60.08833333333334,15.096388888888889,"{""type"":""Point"",""coordinates"":[15.096388888888889,60.08833333333334]}"
