"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FTTZ","Zougra","Bardai","Chad","TCD",21.45,17.05,"{""type"":""Point"",""coordinates"":[17.05,21.45]}"
"FTTL","Berim","Bol","Chad","TCD",13.45,14.733333333333333,"{""type"":""Point"",""coordinates"":[14.733333333333333,13.45]}"
"FTTY","Faya-Largeau","Faya-Largeau","Chad","TCD",17.91607222222222,19.10886388888889,"{""type"":""Point"",""coordinates"":[19.10886388888889,17.91607222222222]}"
"FTTU","Mao","Mao","Chad","TCD",14.133333333333333,15.316666666666666,"{""type"":""Point"",""coordinates"":[15.316666666666666,14.133333333333333]}"
"FTTP","Pala","Pala","Chad","TCD",9.383333333333333,14.933333333333334,"{""type"":""Point"",""coordinates"":[14.933333333333334,9.383333333333333]}"
"FTTM","Mongo","Mongo","Chad","TCD",12.171816666666667,18.6777,"{""type"":""Point"",""coordinates"":[18.6777,12.171816666666667]}"
"FTTK","Bokoro","Bokoro","Chad","TCD",12.383333333333333,17.066666666666666,"{""type"":""Point"",""coordinates"":[17.066666666666666,12.383333333333333]}"
"FTTA","Sarh","Sarh","Chad","TCD",9.151166666666667,18.379333333333335,"{""type"":""Point"",""coordinates"":[18.379333333333335,9.151166666666667]}"
"FTTJ","Hassan Djamous","N'Djamena","Chad","TCD",12.124947222222223,15.024819444444445,"{""type"":""Point"",""coordinates"":[15.024819444444445,12.124947222222223]}"
"FTTR","Zouar","Zouar","Chad","TCD",20.45,16.583333333333332,"{""type"":""Point"",""coordinates"":[16.583333333333332,20.45]}"
"FTTD","Moundou","Moundou","Chad","TCD",8.620138888888889,16.06838888888889,"{""type"":""Point"",""coordinates"":[16.06838888888889,8.620138888888889]}"
"FTTG","Goz-Beida","Goz-Beida","Chad","TCD",12.2,21.466666666666665,"{""type"":""Point"",""coordinates"":[21.466666666666665,12.2]}"
"FTTC","Abeche","Abeche","Chad","TCD",13.847222222222223,20.848888888888887,"{""type"":""Point"",""coordinates"":[20.848888888888887,13.847222222222223]}"
"FTTS","Bousso","Bousso","Chad","TCD",10.483333333333333,16.716666666666665,"{""type"":""Point"",""coordinates"":[16.716666666666665,10.483333333333333]}"
"FTTN","Am-Timan","Am-Timan","Chad","TCD",11.039566666666667,20.276766666666667,"{""type"":""Point"",""coordinates"":[20.276766666666667,11.039566666666667]}"
"FTTF","Fada","Fada","Chad","TCD",17.188333333333333,21.511666666666667,"{""type"":""Point"",""coordinates"":[21.511666666666667,17.188333333333333]}"
"FTTB","Bongor","Bongor","Chad","TCD",10.283333333333333,15.383333333333333,"{""type"":""Point"",""coordinates"":[15.383333333333333,10.283333333333333]}"
