"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"DTTZ","Nefta","Tozeur","Tunisia","TUN",33.939722222222215,8.110555555555555,"{""type"":""Point"",""coordinates"":[8.110555555555555,33.939722222222215]}"
"DTTX","Thyna","Sfax","Tunisia","TUN",34.720555555555556,10.688611111111111,"{""type"":""Point"",""coordinates"":[10.688611111111111,34.720555555555556]}"
"DTKA","Ain Draham","Tabarka","Tunisia","TUN",36.980000000000004,8.876944444444446,"{""type"":""Point"",""coordinates"":[8.876944444444446,36.980000000000004]}"
"DTTR","El Borma","El Borma","Tunisia","TUN",31.702777777777776,9.2575,"{""type"":""Point"",""coordinates"":[9.2575,31.702777777777776]}"
"DTTJ","Zarzis","Djerba","Tunisia","TUN",33.87555555555556,10.777222222222223,"{""type"":""Point"",""coordinates"":[10.777222222222223,33.87555555555556]}"
"DTTI","Borj El Amri","Borj El Amri","Tunisia","TUN",36.721111111111114,9.943333333333333,"{""type"":""Point"",""coordinates"":[9.943333333333333,36.721111111111114]}"
"DTTG","Matmata","Gabes","Tunisia","TUN",33.7325,9.916111111111112,"{""type"":""Point"",""coordinates"":[9.916111111111112,33.7325]}"
"DTTF","Ksar","Gafsa","Tunisia","TUN",34.41555555555556,8.813611111111111,"{""type"":""Point"",""coordinates"":[8.813611111111111,34.41555555555556]}"
"DTNH","Hammamet","Enfidha","Tunisia","TUN",36.075833333333335,10.438611111111111,"{""type"":""Point"",""coordinates"":[10.438611111111111,36.075833333333335]}"
"DTMB","Habib Bourguiba","Monastir","Tunisia","TUN",35.75805555555556,10.754722222222222,"{""type"":""Point"",""coordinates"":[10.754722222222222,35.75805555555556]}"
"DTTA","Carthage","Tunis","Tunisia","TUN",36.85111111111111,10.226944444444445,"{""type"":""Point"",""coordinates"":[10.226944444444445,36.85111111111111]}"
