"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"HTUR","Urambo","Urambo","Tanzania","TZA",-5.066666666666666,32.05,"{""type"":""Point"",""coordinates"":[32.05,-5.066666666666666]}"
"HTUK","Nansio","Ukerewe","Tanzania","TZA",-2.1069722222222222,33.11175,"{""type"":""Point"",""coordinates"":[33.11175,-2.1069722222222222]}"
"HTTU","Tunduru","Tunduru","Tanzania","TZA",-11.1,37.36666666666667,"{""type"":""Point"",""coordinates"":[37.36666666666667,-11.1]}"
"HTTG","Tanga","Tanga","Tanzania","TZA",-5.092105555555555,39.07159444444445,"{""type"":""Point"",""coordinates"":[39.07159444444445,-5.092105555555555]}"
"HTSY","Ibadakuli","Shinyanga","Tanzania","TZA",-3.6082972222222223,33.503480555555555,"{""type"":""Point"",""coordinates"":[33.503480555555555,-3.6082972222222223]}"
"HTSH","Sao Hill","Mafinga","Tanzania","TZA",-8.35,35.3,"{""type"":""Point"",""coordinates"":[35.3,-8.35]}"
"HTNR","Ngara","Ngara","Tanzania","TZA",-2.5423,30.703102777777776,"{""type"":""Point"",""coordinates"":[30.703102777777776,-2.5423]}"
"HTMX","Mpwapwa","Mpwapwa","Tanzania","TZA",-6.35,36.483333333333334,"{""type"":""Point"",""coordinates"":[36.483333333333334,-6.35]}"
"HTMV","Mvumi","Mvumi","Tanzania","TZA",-6.374499999999999,35.898666666666664,"{""type"":""Point"",""coordinates"":[35.898666666666664,-6.374499999999999]}"
"HTSO","Songea","Songea","Tanzania","TZA",-10.681947222222222,35.58211666666667,"{""type"":""Point"",""coordinates"":[35.58211666666667,-10.681947222222222]}"
"HTMW","Mwanza","Mwanza","Tanzania","TZA",-2.444127777777778,32.93193333333333,"{""type"":""Point"",""coordinates"":[32.93193333333333,-2.444127777777778]}"
"HTMU","Musoma","Musoma","Tanzania","TZA",-1.5034444444444444,33.802166666666665,"{""type"":""Point"",""coordinates"":[33.802166666666665,-1.5034444444444444]}"
"HTNA","Nachingwea","Nachingwea","Tanzania","TZA",-10.359166666666667,38.781169444444444,"{""type"":""Point"",""coordinates"":[38.781169444444444,-10.359166666666667]}"
"HTMT","Mtwara","Mtwara","Tanzania","TZA",-10.336116666666667,40.18201666666666,"{""type"":""Point"",""coordinates"":[40.18201666666666,-10.336116666666667]}"
"HTCH","Chunya","Chunya","Tanzania","TZA",-8.55,33.43333333333333,"{""type"":""Point"",""coordinates"":[33.43333333333333,-8.55]}"
"HTMS","Moshi","Moshi","Tanzania","TZA",-3.3666666666666667,37.31666666666667,"{""type"":""Point"",""coordinates"":[37.31666666666667,-3.3666666666666667]}"
"HTIR","Iringa","Iringa","Tanzania","TZA",-7.668394444444445,35.75214166666667,"{""type"":""Point"",""coordinates"":[35.75214166666667,-7.668394444444445]}"
"HTMD","Mwadui","Mwadui","Tanzania","TZA",-3.5,33.61666666666667,"{""type"":""Point"",""coordinates"":[33.61666666666667,-3.5]}"
"HTKO","Kongwa","Kongwa","Tanzania","TZA",-6.15,36.416666666666664,"{""type"":""Point"",""coordinates"":[36.416666666666664,-6.15]}"
"HTMG","Morogoro","Morogoro","Tanzania","TZA",-6.8,37.65,"{""type"":""Point"",""coordinates"":[37.65,-6.8]}"
"HTIY","Inyonga","Inyonga","Tanzania","TZA",-6.716666666666667,32.1,"{""type"":""Point"",""coordinates"":[32.1,-6.716666666666667]}"
"HTKS","Kilosa","Kilosa","Tanzania","TZA",-6.9,37.016666666666666,"{""type"":""Point"",""coordinates"":[37.016666666666666,-6.9]}"
"HTMA","Mafia","Mafia","Tanzania","TZA",-7.917277777777778,39.668388888888884,"{""type"":""Point"",""coordinates"":[39.668388888888884,-7.917277777777778]}"
"HTWK","Ngare Nairobi","West Kilimanjaro","Tanzania","TZA",-3.05,37,"{""type"":""Point"",""coordinates"":[37,-3.05]}"
"HTLM","Lake Manyara","Lake Manyara","Tanzania","TZA",-3.3666666666666667,35.81666666666667,"{""type"":""Point"",""coordinates"":[35.81666666666667,-3.3666666666666667]}"
"HTLL","Liuli","Liuli","Tanzania","TZA",-11.1,34.65,"{""type"":""Point"",""coordinates"":[34.65,-11.1]}"
"HTDO","Dodoma","Dodoma","Tanzania","TZA",-6.170358333333334,35.749433333333336,"{""type"":""Point"",""coordinates"":[35.749433333333336,-6.170358333333334]}"
"HTMF","Mufindi","Mufindi","Tanzania","TZA",-8.716666666666667,35.28333333333333,"{""type"":""Point"",""coordinates"":[35.28333333333333,-8.716666666666667]}"
"HTSD","Singida","Singida","Tanzania","TZA",-4.816666666666666,34.733333333333334,"{""type"":""Point"",""coordinates"":[34.733333333333334,-4.816666666666666]}"
"HTLD","Loliondo","Loliondo","Tanzania","TZA",-2.0686666666666667,35.544,"{""type"":""Point"",""coordinates"":[35.544,-2.0686666666666667]}"
"HTMI","Masasi","Masasi","Tanzania","TZA",-10.733333333333333,38.766666666666666,"{""type"":""Point"",""coordinates"":[38.766666666666666,-10.733333333333333]}"
"HTZA","Abeid Amani Karume Intl","Zanzibar","Tanzania","TZA",-6.224891666666667,39.225175,"{""type"":""Point"",""coordinates"":[39.225175,-6.224891666666667]}"
"HTKJ","Kilimanjaro Intl","Kilimanjaro","Tanzania","TZA",-3.4294055555555554,37.07446111111111,"{""type"":""Point"",""coordinates"":[37.07446111111111,-3.4294055555555554]}"
"HTKD","Kondoa","Kondoa","Tanzania","TZA",-4.933333333333334,35.766666666666666,"{""type"":""Point"",""coordinates"":[35.766666666666666,-4.933333333333334]}"
"HTSU","Sumbawanga","Sumbawanga","Tanzania","TZA",-7.948566666666667,31.610755555555556,"{""type"":""Point"",""coordinates"":[31.610755555555556,-7.948566666666667]}"
"HTSE","Same","Same","Tanzania","TZA",-4.083333333333333,37.7,"{""type"":""Point"",""coordinates"":[37.7,-4.083333333333333]}"
"HTKB","Kibondo","Kibondo","Tanzania","TZA",-3.5166666666666666,30.633333333333333,"{""type"":""Point"",""coordinates"":[30.633333333333333,-3.5166666666666666]}"
"HTTB","Tabora","Tabora","Tanzania","TZA",-5.076,32.83030555555556,"{""type"":""Point"",""coordinates"":[32.83030555555556,-5.076]}"
"HTNJ","Njombe","Njombe","Tanzania","TZA",-9.35,34.8,"{""type"":""Point"",""coordinates"":[34.8,-9.35]}"
"HTKA","Kigoma","Kigoma","Tanzania","TZA",-4.885080555555555,29.67018888888889,"{""type"":""Point"",""coordinates"":[29.67018888888889,-4.885080555555555]}"
"HTBU","Bukoba","Bukoba","Tanzania","TZA",-1.3313638888888888,31.820469444444445,"{""type"":""Point"",""coordinates"":[31.820469444444445,-1.3313638888888888]}"
"HTLI","Kikwetu","Lindi","Tanzania","TZA",-9.850913888888888,39.759144444444445,"{""type"":""Point"",""coordinates"":[39.759144444444445,-9.850913888888888]}"
"HTPE","Chake Chake","Pemba","Tanzania","TZA",-5.257383333333333,39.811391666666665,"{""type"":""Point"",""coordinates"":[39.811391666666665,-5.257383333333333]}"
"HTKI","Kilwa Masoko","Kilwa","Tanzania","TZA",-8.916666666666666,39.483333333333334,"{""type"":""Point"",""coordinates"":[39.483333333333334,-8.916666666666666]}"
"HTKT","Kilimatinde","Kilimatinde","Tanzania","TZA",-5.833333333333333,34.93333333333333,"{""type"":""Point"",""coordinates"":[34.93333333333333,-5.833333333333333]}"
"HTGW","Songwe","Songwe","Tanzania","TZA",-8.919941666666666,33.274097222222224,"{""type"":""Point"",""coordinates"":[33.274097222222224,-8.919941666666666]}"
"HTUT","Utete","Utete","Tanzania","TZA",-8.016666666666667,38.8,"{""type"":""Point"",""coordinates"":[38.8,-8.016666666666667]}"
"HTDA","Julius Nyerere Intl","Dar-Es-Salaam","Tanzania","TZA",-6.878111111111112,39.202625000000005,"{""type"":""Point"",""coordinates"":[39.202625000000005,-6.878111111111112]}"
"HTKL","Kirondatal","Kirondatal","Tanzania","TZA",-4.316666666666666,34.333333333333336,"{""type"":""Point"",""coordinates"":[34.333333333333336,-4.316666666666666]}"
"HTMO","Mombo","Mombo","Tanzania","TZA",-4.916666666666667,38.233333333333334,"{""type"":""Point"",""coordinates"":[38.233333333333334,-4.916666666666667]}"
"HTUV","Uvinza","Uvinza","Tanzania","TZA",-5.091944444444444,30.411944444444444,"{""type"":""Point"",""coordinates"":[30.411944444444444,-5.091944444444444]}"
"HTAR","Arusha","Arusha","Tanzania","TZA",-3.3677944444444443,36.62040833333334,"{""type"":""Point"",""coordinates"":[36.62040833333334,-3.3677944444444443]}"
