"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"UKOO","Odesa","Odesa","Ukraine","UKR",46.42666666666666,30.67638888888889,"{""type"":""Point"",""coordinates"":[30.67638888888889,46.42666666666666]}"
"UKLU","Uzhhorod","Uzhhorod","Ukraine","UKR",48.63444444444444,22.263333333333332,"{""type"":""Point"",""coordinates"":[22.263333333333332,48.63444444444444]}"
"UKLT","Ternopil' Intl","Ternopil'","Ukraine","UKR",49.525,25.715555555555554,"{""type"":""Point"",""coordinates"":[25.715555555555554,49.525]}"
"UKLR","Rivne","Rivne","Ukraine","UKR",50.608333333333334,26.139722222222222,"{""type"":""Point"",""coordinates"":[26.139722222222222,50.608333333333334]}"
"UKLL","L'Viv","L'Viv","Ukraine","UKR",49.80972222222222,23.958333333333332,"{""type"":""Point"",""coordinates"":[23.958333333333332,49.80972222222222]}"
"UKKK","Zhuliany","Kyiv","Ukraine","UKR",50.401944444444446,30.451944444444443,"{""type"":""Point"",""coordinates"":[30.451944444444443,50.401944444444446]}"
"UKHH","Osnova","Kharkiv","Ukraine","UKR",49.926944444444445,36.29,"{""type"":""Point"",""coordinates"":[36.29,49.926944444444445]}"
"UKKG","Kirovohrad","Kirovohrad","Ukraine","UKR",48.54138888888889,32.282777777777774,"{""type"":""Point"",""coordinates"":[32.282777777777774,48.54138888888889]}"
"UKOH","Kherson Intl","Kherson","Ukraine","UKR",46.67583333333333,32.50611111111111,"{""type"":""Point"",""coordinates"":[32.50611111111111,46.67583333333333]}"
"UKKM","Antonov","Kyiv","Ukraine","UKR",50.60027777777778,30.19361111111111,"{""type"":""Point"",""coordinates"":[30.19361111111111,50.60027777777778]}"
"UKKO","Ozerne Intl","Ozerne","Ukraine","UKR",50.15888888888889,28.738333333333333,"{""type"":""Point"",""coordinates"":[28.738333333333333,50.15888888888889]}"
"UKKE","Cherkasy","Cherkasy","Ukraine","UKR",49.41583333333333,31.995,"{""type"":""Point"",""coordinates"":[31.995,49.41583333333333]}"
"UKHP","Suprunivka","Poltava","Ukraine","UKR",49.56944444444445,34.39416666666666,"{""type"":""Point"",""coordinates"":[34.39416666666666,49.56944444444445]}"
"UKLI","Ivano-Frankivs'k","Ivano-Frankivs'k","Ukraine","UKR",48.88388888888889,24.684444444444445,"{""type"":""Point"",""coordinates"":[24.684444444444445,48.88388888888889]}"
"UKDR","Lozuvatka","Kryvyi Rih","Ukraine","UKR",48.04416666666666,33.20805555555556,"{""type"":""Point"",""coordinates"":[33.20805555555556,48.04416666666666]}"
"UKDD","Dnipropetrovs'k","Dnipropetrovs'k","Ukraine","UKR",48.35722222222223,35.10055555555556,"{""type"":""Point"",""coordinates"":[35.10055555555556,48.35722222222223]}"
"UKDE","Mokraya","Zaporizhzhia","Ukraine","UKR",47.867222222222225,35.315,"{""type"":""Point"",""coordinates"":[35.315,47.867222222222225]}"
"UKWW","Gavryshivka","Vinnytsia","Ukraine","UKR",49.2425,28.61388888888889,"{""type"":""Point"",""coordinates"":[28.61388888888889,49.2425]}"
"UKLN","Chernivtsi","Chernivtsi","Ukraine","UKR",48.259166666666665,25.979999999999997,"{""type"":""Point"",""coordinates"":[25.979999999999997,48.259166666666665]}"
"UKCW","Luhans'k","Luhans'k","Ukraine","UKR",48.418055555555554,39.374722222222225,"{""type"":""Point"",""coordinates"":[39.374722222222225,48.418055555555554]}"
"UKHS","Sumy","Sumy","Ukraine","UKR",50.858333333333334,34.76277777777778,"{""type"":""Point"",""coordinates"":[34.76277777777778,50.858333333333334]}"
"UKBB","Boryspil'","Kyiv","Ukraine","UKR",50.344722222222224,30.893333333333334,"{""type"":""Point"",""coordinates"":[30.893333333333334,50.344722222222224]}"
