"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SUVO","Vichadero","Vichadero","Uruguay","URY",-31.766666666666666,-54.61666666666667,"{""type"":""Point"",""coordinates"":[-54.61666666666667,-31.766666666666666]}"
"SUTR","Treinta Y Tres","Treinta Y Tres","Uruguay","URY",-33.19499999999999,-54.34722222222222,"{""type"":""Point"",""coordinates"":[-54.34722222222222,-33.19499999999999]}"
"SUTB","Tacuarembo","Tacuarembo","Uruguay","URY",-31.75027777777778,-55.92388888888889,"{""type"":""Point"",""coordinates"":[-55.92388888888889,-31.75027777777778]}"
"SUSO","Salto Nueva Hesperides Intl","Salto","Uruguay","URY",-31.434722222222224,-57.98416666666667,"{""type"":""Point"",""coordinates"":[-57.98416666666667,-31.434722222222224]}"
"SUDU","Santa Bernardina Intl","Durazno","Uruguay","URY",-33.35638888888889,-56.49611111111111,"{""type"":""Point"",""coordinates"":[-56.49611111111111,-33.35638888888889]}"
"SUPU","Tydeo Larre Borges Intl","Paysandu","Uruguay","URY",-32.363055555555555,-58.06638888888889,"{""type"":""Point"",""coordinates"":[-58.06638888888889,-32.363055555555555]}"
"SUME","Ricardo Detomasi Dptal","Mercedes","Uruguay","URY",-33.24861111111111,-58.07277777777778,"{""type"":""Point"",""coordinates"":[-58.07277777777778,-33.24861111111111]}"
"SUAG","Artigas Intl","Artigas","Uruguay","URY",-30.399166666666666,-56.51083333333333,"{""type"":""Point"",""coordinates"":[-56.51083333333333,-30.399166666666666]}"
"SUCM","Carmelo Intl","Carmelo","Uruguay","URY",-33.96611111111111,-58.32527777777778,"{""type"":""Point"",""coordinates"":[-58.32527777777778,-33.96611111111111]}"
"SURV","Presidente General don Oscar D. Gestido Intl","Rivera","Uruguay","URY",-30.96944444444444,-55.473333333333336,"{""type"":""Point"",""coordinates"":[-55.473333333333336,-30.96944444444444]}"
"SUAA","Angel S Adami Intl","Montevideo","Uruguay","URY",-34.78916666666667,-56.264722222222225,"{""type"":""Point"",""coordinates"":[-56.264722222222225,-34.78916666666667]}"
"SUPE","El Jaguel Dptal","Punta Del Este","Uruguay","URY",-34.91305555555555,-54.91916666666666,"{""type"":""Point"",""coordinates"":[-54.91916666666666,-34.91305555555555]}"
"SURB","Rio Branco","Rio Branco","Uruguay","URY",-32.58305555555556,-53.45416666666667,"{""type"":""Point"",""coordinates"":[-53.45416666666667,-32.58305555555556]}"
"SUCA","Laguna de los Patos Intl","Colonia","Uruguay","URY",-34.45138888888889,-57.76694444444444,"{""type"":""Point"",""coordinates"":[-57.76694444444444,-34.45138888888889]}"
"SMDB","Santa Maria Del Bequelo","Soriano","Uruguay","URY",-33.47508055555556,-57.63523611111111,"{""type"":""Point"",""coordinates"":[-57.63523611111111,-33.47508055555556]}"
"SUMU","Carrasco Intl/Gen C L Berisso","Montevideo","Uruguay","URY",-34.83388888888889,-56.028055555555554,"{""type"":""Point"",""coordinates"":[-56.028055555555554,-34.83388888888889]}"
"SUMO","Cerro Largo Intl","Melo","Uruguay","URY",-32.3425,-54.221944444444446,"{""type"":""Point"",""coordinates"":[-54.221944444444446,-32.3425]}"
1779,"Gen Artigas","Montevideo","Uruguay","URY",-34.748333333333335,-55.958333333333336,"{""type"":""Point"",""coordinates"":[-55.958333333333336,-34.748333333333335]}"
1536,"Carlos Antunez Castellanos","Trinidad","Uruguay","URY",-33.483333333333334,-56.88333333333333,"{""type"":""Point"",""coordinates"":[-56.88333333333333,-33.483333333333334]}"
"SULS","Capitan Curbelo Intl","Maldonado","Uruguay","URY",-34.85722222222223,-55.09805555555556,"{""type"":""Point"",""coordinates"":[-55.09805555555556,-34.85722222222223]}"
1423,"Rocha","Rocha","Uruguay","URY",-34.483333333333334,-54.266666666666666,"{""type"":""Point"",""coordinates"":[-54.266666666666666,-34.483333333333334]}"
1421,"Fray Bentos","Fray Bentos","Uruguay","URY",-33.166666666666664,-58.25,"{""type"":""Point"",""coordinates"":[-58.25,-33.166666666666664]}"
