"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"UTTT","Yuzhny","Tashkent","Uzbekistan","UZB",41.25666666666667,69.28166666666667,"{""type"":""Point"",""coordinates"":[69.28166666666667,41.25666666666667]}"
"UTSS","Samarkand","Samarkand","Uzbekistan","UZB",39.7,66.98333333333333,"{""type"":""Point"",""coordinates"":[66.98333333333333,39.7]}"
"UTSB","Bukhara","Bukhara","Uzbekistan","UZB",39.775,64.48333333333333,"{""type"":""Point"",""coordinates"":[64.48333333333333,39.775]}"
"UTNU","Urgench","Urgench","Uzbekistan","UZB",41.583333333333336,60.644999999999996,"{""type"":""Point"",""coordinates"":[60.644999999999996,41.583333333333336]}"
"UTSK","Karshi","Karshi","Uzbekistan","UZB",38.80333333333333,65.77333333333333,"{""type"":""Point"",""coordinates"":[65.77333333333333,38.80333333333333]}"
"UTNN","Nukus","Nukus","Uzbekistan","UZB",42.48833333333334,59.623333333333335,"{""type"":""Point"",""coordinates"":[59.623333333333335,42.48833333333334]}"
"UTST","Termez","Termez","Uzbekistan","UZB",37.28666666666666,67.30833333333334,"{""type"":""Point"",""coordinates"":[67.30833333333334,37.28666666666666]}"
"UTFN","Namangan","Namangan","Uzbekistan","UZB",40.985,71.55666666666666,"{""type"":""Point"",""coordinates"":[71.55666666666666,40.985]}"
"UTSA","Navoi","Navoi","Uzbekistan","UZB",40.11666666666667,65.17166666666667,"{""type"":""Point"",""coordinates"":[65.17166666666667,40.11666666666667]}"
"UTFF","Fergana","Fergana","Uzbekistan","UZB",40.358333333333334,71.745,"{""type"":""Point"",""coordinates"":[71.745,40.358333333333334]}"
"UTFA","Andizhan","Andizhan","Uzbekistan","UZB",40.72666666666667,72.29333333333334,"{""type"":""Point"",""coordinates"":[72.29333333333334,40.72666666666667]}"
