"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SVVA","Arturo Michelena Intl","Valencia","Venezuela","VEN",10.15,-67.923,"{""type"":""Point"",""coordinates"":[-67.923,10.15]}"
"SVUQ","Uon-Quen","Uon-Quen","Venezuela","VEN",4.983611111111111,-61.72972222222222,"{""type"":""Point"",""coordinates"":[-61.72972222222222,4.983611111111111]}"
"SVUP","Bolivar","Upata","Venezuela","VEN",7.978888888888889,-62.328611111111115,"{""type"":""Point"",""coordinates"":[-62.328611111111115,7.978888888888889]}"
"SVUM","Uriman","Uriman","Venezuela","VEN",5.333333333333333,-62.766666666666666,"{""type"":""Point"",""coordinates"":[-62.766666666666666,5.333333333333333]}"
"SVTR","Temblador","Temblador","Venezuela","VEN",9.016666666666667,-62.733333333333334,"{""type"":""Point"",""coordinates"":[-62.733333333333334,9.016666666666667]}"
"SVTM","Tumeremo","Tumeremo","Venezuela","VEN",7.248888888888889,-61.528888888888886,"{""type"":""Point"",""coordinates"":[-61.528888888888886,7.248888888888889]}"
"SVTK","La Trinidad De Arichuna","La Trinidad De Arichuna","Venezuela","VEN",7.138333333333334,-69.775,"{""type"":""Point"",""coordinates"":[-69.775,7.138333333333334]}"
"SVTC","Tucupita","Tucupita","Venezuela","VEN",9.08888888888889,-62.094166666666666,"{""type"":""Point"",""coordinates"":[-62.094166666666666,9.08888888888889]}"
"SVST","Don Edmundo Barrios Ntl","San Tome","Venezuela","VEN",8.945,-64.15083333333334,"{""type"":""Point"",""coordinates"":[-64.15083333333334,8.945]}"
"SVCL","Calabozo","Calabozo","Venezuela","VEN",8.924722222222222,-67.41694444444445,"{""type"":""Point"",""coordinates"":[-67.41694444444445,8.924722222222222]}"
"SVSP","Sub Teniente Nestor Arias","San Felipe","Venezuela","VEN",10.278611111111111,-68.755,"{""type"":""Point"",""coordinates"":[-68.755,10.278611111111111]}"
"SVSO","Mayor Buenaventura Vivas Intl AB","Santo Domingo","Venezuela","VEN",7.5649999999999995,-72.035,"{""type"":""Point"",""coordinates"":[-72.035,7.5649999999999995]}"
"SVCR","Jose Leonardo Chirinos Ntl","Coro","Venezuela","VEN",11.414722222222222,-69.68166666666667,"{""type"":""Point"",""coordinates"":[-69.68166666666667,11.414722222222222]}"
