"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VVTS","Tan Son Nhat Intl","Ho Chi Minh","Vietnam","VNM",10.820555555555556,106.66083333333334,"{""type"":""Point"",""coordinates"":[106.66083333333334,10.820555555555556]}"
"VVTH","TuyHoa","PhuYen","Vietnam","VNM",13.039444444444444,109.33416666666666,"{""type"":""Point"",""coordinates"":[109.33416666666666,13.039444444444444]}"
"VVDN","Da Nang Intl","Da Nang","Vietnam","VNM",16.04388888888889,108.20027777777779,"{""type"":""Point"",""coordinates"":[108.20027777777779,16.04388888888889]}"
"VVPB","Phu Bai Intl","HUE","Vietnam","VNM",16.400683333333333,107.70249444444445,"{""type"":""Point"",""coordinates"":[107.70249444444445,16.400683333333333]}"
"VVNB","Noi Bai Intl","Hanoi","Vietnam","VNM",21.221666666666664,105.80555555555556,"{""type"":""Point"",""coordinates"":[105.80555555555556,21.221666666666664]}"
"VVDL","Lien Khuong","Lien Khuong","Vietnam","VNM",11.753380555555555,108.36801944444444,"{""type"":""Point"",""coordinates"":[108.36801944444444,11.753380555555555]}"
"VVCT","Can Tho Intl","Can Tho","Vietnam","VNM",10.084025,105.710025,"{""type"":""Point"",""coordinates"":[105.710025,10.084025]}"
"VVVH","Vinh","Vinh","Vietnam","VNM",18.730555555555554,105.67583333333334,"{""type"":""Point"",""coordinates"":[105.67583333333334,18.730555555555554]}"
"VVRG","RachGia","RachGia","Vietnam","VNM",9.958566666666666,105.13608888888889,"{""type"":""Point"",""coordinates"":[105.13608888888889,9.958566666666666]}"
"VVPQ","Phu Quoc Intl","Phu Quoc","Vietnam","VNM",10.169722222222221,103.99305555555556,"{""type"":""Point"",""coordinates"":[103.99305555555556,10.169722222222221]}"
"VVCS","ConSon","BaRiaVungTau","Vietnam","VNM",8.732952777777777,106.62981388888888,"{""type"":""Point"",""coordinates"":[106.62981388888888,8.732952777777777]}"
"VVCR","Cam Ranh Intl","Khanh Hoa","Vietnam","VNM",11.99546111111111,109.21841388888889,"{""type"":""Point"",""coordinates"":[109.21841388888889,11.99546111111111]}"
