"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"OYTZ","Taiz Intl","Taiz","Yemen","YEM",13.686111111111112,44.138888888888886,"{""type"":""Point"",""coordinates"":[44.138888888888886,13.686111111111112]}"
"OYZM","Al-Hazm","Al-Hazm","Yemen","YEM",16.208333333333332,44.794444444444444,"{""type"":""Point"",""coordinates"":[44.794444444444444,16.208333333333332]}"
"OYSY","Sayun Intl","Sayun","Yemen","YEM",15.96361111111111,48.785,"{""type"":""Point"",""coordinates"":[48.785,15.96361111111111]}"
"OYSN","Sanaa Intl","Sanaa","Yemen","YEM",15.479444444444445,44.219722222222224,"{""type"":""Point"",""coordinates"":[44.219722222222224,15.479444444444445]}"
"OYBQ","Al-Bough","Al-Bough","Yemen","YEM",17.346666666666664,44.62166666666667,"{""type"":""Point"",""coordinates"":[44.62166666666667,17.346666666666664]}"
"OYSH","Saadah","Saadah","Yemen","YEM",16.966666666666665,43.72777777777778,"{""type"":""Point"",""coordinates"":[43.72777777777778,16.966666666666665]}"
"OYRN","Mukalla Intl","Mukalla","Yemen","YEM",14.6625,49.375,"{""type"":""Point"",""coordinates"":[49.375,14.6625]}"
"OYQN","Qishn","Qishn","Yemen","YEM",15.416666666666666,51.68333333333333,"{""type"":""Point"",""coordinates"":[51.68333333333333,15.416666666666666]}"
"OYMS","Mukeiras","Mukeiras","Yemen","YEM",13.933333333333334,45.65,"{""type"":""Point"",""coordinates"":[45.65,13.933333333333334]}"
"OYHD","Hodeidah Intl","Hodeidah","Yemen","YEM",14.751388888888888,42.976111111111116,"{""type"":""Point"",""coordinates"":[42.976111111111116,14.751388888888888]}"
"OYMB","Marib","Marib","Yemen","YEM",15.468055555555555,45.32777777777778,"{""type"":""Point"",""coordinates"":[45.32777777777778,15.468055555555555]}"
"OYGD","Al-Ghaidah Intl","Al-Ghaidah","Yemen","YEM",16.193333333333335,52.174166666666665,"{""type"":""Point"",""coordinates"":[52.174166666666665,16.193333333333335]}"
"OYAT","Ataq","Ataq","Yemen","YEM",14.551388888888889,46.82611111111112,"{""type"":""Point"",""coordinates"":[46.82611111111112,14.551388888888889]}"
"OYKM","Kamaran","Kamaran","Yemen","YEM",15.363888888888889,42.605555555555554,"{""type"":""Point"",""coordinates"":[42.605555555555554,15.363888888888889]}"
"OYBN","Beihan","Beihan","Yemen","YEM",14.783333333333333,45.71666666666667,"{""type"":""Point"",""coordinates"":[45.71666666666667,14.783333333333333]}"
"OYBS","Abbs","Abbs","Yemen","YEM",16.008333333333333,43.17777777777778,"{""type"":""Point"",""coordinates"":[43.17777777777778,16.008333333333333]}"
"OYSQ","Socotra Intl","Moori","Yemen","YEM",12.631944444444445,53.906388888888884,"{""type"":""Point"",""coordinates"":[53.906388888888884,12.631944444444445]}"
"OYBD","Al-Bayda","Al-Bayda","Yemen","YEM",14.1,45.43333333333333,"{""type"":""Point"",""coordinates"":[45.43333333333333,14.1]}"
"OYAA","Aden Intl","Aden","Yemen","YEM",12.829166666666666,45.03,"{""type"":""Point"",""coordinates"":[45.03,12.829166666666666]}"
