"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FAWK","Waterkloof","Waterkloof","South African Rep","ZAF",-25.82768888888889,28.220891666666667,"{""type"":""Point"",""coordinates"":[28.220891666666667,-25.82768888888889]}"
"FAWI","Witbank","Witbank","South African Rep","ZAF",-25.833777777777776,29.192625,"{""type"":""Point"",""coordinates"":[29.192625,-25.833777777777776]}"
"FAVV","Vereeniging","Vereeniging","South African Rep","ZAF",-26.575,27.9625,"{""type"":""Point"",""coordinates"":[27.9625,-26.575]}"
"FAVR","Vredendal","Vredendal","South African Rep","ZAF",-31.64313611111111,18.53956388888889,"{""type"":""Point"",""coordinates"":[18.53956388888889,-31.64313611111111]}"
"FAVM","Venetia","Venetia","South African Rep","ZAF",-22.448980555555554,29.335016666666665,"{""type"":""Point"",""coordinates"":[29.335016666666665,-22.448980555555554]}"
"FAWM","Welkom","Welkom","South African Rep","ZAF",-27.998008333333335,26.669555555555558,"{""type"":""Point"",""coordinates"":[26.669555555555558,-27.998008333333335]}"
"FAVG","Virginia","Durban","South African Rep","ZAF",-29.770833333333332,31.060277777777777,"{""type"":""Point"",""coordinates"":[31.060277777777777,-29.770833333333332]}"
"FAUT","Mthatha","Mthatha","South African Rep","ZAF",-31.546247222222224,28.675316666666667,"{""type"":""Point"",""coordinates"":[28.675316666666667,-31.546247222222224]}"
"FAUP","Upington Intl","Upington","South African Rep","ZAF",-28.40102222222222,21.25966111111111,"{""type"":""Point"",""coordinates"":[21.25966111111111,-28.40102222222222]}"
"FATF","Tommy's Field","Tommy's Field","South African Rep","ZAF",-28.266666666666666,23,"{""type"":""Point"",""coordinates"":[23,-28.266666666666666]}"
"FASX","Hendrik Swellengrebel","Swellendam","South African Rep","ZAF",-34.05,20.483333333333334,"{""type"":""Point"",""coordinates"":[20.483333333333334,-34.05]}"
"FASS","Sishen","Sishen","South African Rep","ZAF",-27.65,23,"{""type"":""Point"",""coordinates"":[23,-27.65]}"
"FAUL","Prince Mangosuthu Buthelezi","Ulundi","South African Rep","ZAF",-28.31947222222222,31.417055555555557,"{""type"":""Point"",""coordinates"":[31.417055555555557,-28.31947222222222]}"
"FASH","Stellenbosch","Stellenbosch","South African Rep","ZAF",-33.980555555555554,18.822777777777777,"{""type"":""Point"",""coordinates"":[18.822777777777777,-33.980555555555554]}"
"FAGY","Greytown","Greytown","South African Rep","ZAF",-29.122725,30.58510833333333,"{""type"":""Point"",""coordinates"":[30.58510833333333,-29.122725]}"
"FAKR","Krugersdorp","Krugersdorp","South African Rep","ZAF",-26.081647222222223,27.725677777777776,"{""type"":""Point"",""coordinates"":[27.725677777777776,-26.081647222222223]}"
"FAPP","Polokwane Intl","Polokwane","South African Rep","ZAF",-23.84964722222222,29.456488888888888,"{""type"":""Point"",""coordinates"":[29.456488888888888,-23.84964722222222]}"
