"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FLSW","Solwezi","Solwezi","Zambia","ZMB",-12.166666666666666,26.366666666666667,"{""type"":""Point"",""coordinates"":[26.366666666666667,-12.166666666666666]}"
"FLSK","Simon Mwansa Kapwepwe Intl","Ndola","Zambia","ZMB",-12.995,28.665,"{""type"":""Point"",""coordinates"":[28.665,-12.995]}"
"FLMG","Mongu","Mongu","Zambia","ZMB",-15.225,23.153333333333332,"{""type"":""Point"",""coordinates"":[23.153333333333332,-15.225]}"
"FLLK","Lukulu","Lukulu","Zambia","ZMB",-14.366666666666667,23.258333333333333,"{""type"":""Point"",""coordinates"":[23.258333333333333,-14.366666666666667]}"
"FLMF","Mfuwe","Mfuwe","Zambia","ZMB",-13.266666666666667,31.933333333333334,"{""type"":""Point"",""coordinates"":[31.933333333333334,-13.266666666666667]}"
"FLMA","Mansa","Mansa","Zambia","ZMB",-11.133333333333333,28.866666666666667,"{""type"":""Point"",""coordinates"":[28.866666666666667,-11.133333333333333]}"
"FLKS","Kasama","Kasama","Zambia","ZMB",-10.216666666666667,31.133333333333333,"{""type"":""Point"",""coordinates"":[31.133333333333333,-10.216666666666667]}"
"FLSO","Southdowns","Kitwe","Zambia","ZMB",-12.9,28.15,"{""type"":""Point"",""coordinates"":[28.15,-12.9]}"
"FLCP","Chipata","Chipata","Zambia","ZMB",-13.561666666666667,32.585,"{""type"":""Point"",""coordinates"":[32.585,-13.561666666666667]}"
"FLLA","Luanshya","Luanshya","Zambia","ZMB",-13.141666666666666,28.425,"{""type"":""Point"",""coordinates"":[28.425,-13.141666666666666]}"
"FLKK","Kenneth Kaunda Intl","Lusaka","Zambia","ZMB",-15.326666666666666,28.456666666666667,"{""type"":""Point"",""coordinates"":[28.456666666666667,-15.326666666666666]}"
"FLHN","Harry Mwanga Nkumbula Intl","Livingstone","Zambia","ZMB",-17.821358333333333,25.817075,"{""type"":""Point"",""coordinates"":[25.817075,-17.821358333333333]}"
