"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FVWN","Hwange National Park","Hwange","Zimbabwe","ZWE",-18.633888888888887,27.008055555555554,"{""type"":""Point"",""coordinates"":[27.008055555555554,-18.633888888888887]}"
"FVFA","Victoria Falls","Victoria Falls","Zimbabwe","ZWE",-18.094166666666666,25.84,"{""type"":""Point"",""coordinates"":[25.84,-18.094166666666666]}"
"FVKB","Kariba Intl","Kariba","Zimbabwe","ZWE",-16.519444444444442,28.884999999999998,"{""type"":""Point"",""coordinates"":[28.884999999999998,-16.519444444444442]}"
"FVBU","J.M. Nkomo","Bulawayo","Zimbabwe","ZWE",-20.01833333333333,28.62472222222222,"{""type"":""Point"",""coordinates"":[28.62472222222222,-20.01833333333333]}"
"FVMV","Masvingo Intl","Masvingo","Zimbabwe","ZWE",-20.061944444444446,30.861944444444447,"{""type"":""Point"",""coordinates"":[30.861944444444447,-20.061944444444446]}"
"FVGO","Gokwe","Gokwe","Zimbabwe","ZWE",-18.2,28.916666666666668,"{""type"":""Point"",""coordinates"":[28.916666666666668,-18.2]}"
"FVCZ","Buffalo Range","Chiredzi","Zimbabwe","ZWE",-21.01,31.579444444444444,"{""type"":""Point"",""coordinates"":[31.579444444444444,-21.01]}"
"FVCP","Charles Prince","Harare","Zimbabwe","ZWE",-17.7525,30.9225,"{""type"":""Point"",""coordinates"":[30.9225,-17.7525]}"
"FVGM","Mhangura","Mhangura","Zimbabwe","ZWE",-16.90833333333333,30.241666666666667,"{""type"":""Point"",""coordinates"":[30.241666666666667,-16.90833333333333]}"
"FVCI","Chinhoyi","Chinhoyi","Zimbabwe","ZWE",-17.416666666666668,30.141666666666666,"{""type"":""Point"",""coordinates"":[30.141666666666666,-17.416666666666668]}"
"FVHA","Harare Intl","Harare","Zimbabwe","ZWE",-17.93277777777778,31.093888888888888,"{""type"":""Point"",""coordinates"":[31.093888888888888,-17.93277777777778]}"
